 frequency              r_VOUT                 i_VOUT                
 1.412537544622767e+02  1.125685518374621e+00 -1.544839672699447e-04 
 1.439903320881646e+02  1.125685517559797e+00 -1.574776435374479e-04 
 1.467799267622083e+02  1.125685516713095e+00 -1.605293028544291e-04 
 1.496235656094447e+02  1.125685515833268e+00 -1.636400688372582e-04 
 1.525222956539033e+02  1.125685514919020e+00 -1.668110868652700e-04 
 1.554771842041188e+02  1.125685513969005e+00 -1.700435245024890e-04 
 1.584893192461128e+02  1.125685512981823e+00 -1.733385719275236e-04 
 1.615598098439889e+02  1.125685511956021e+00 -1.766974423717861e-04 
 1.646897865482883e+02  1.125685510890086e+00 -1.801213725662002e-04 
 1.678804018122576e+02  1.125685509782449e+00 -1.836116231965625e-04 
 1.711328304161796e+02  1.125685508631481e+00 -1.871694793677218e-04 
 1.744482698999270e+02  1.125685507435483e+00 -1.907962510767503e-04 
 1.778279410038939e+02  1.125685506192694e+00 -1.944932736952813e-04 
 1.812730881184716e+02  1.125685504901286e+00 -1.982619084611877e-04 
 1.847849797422308e+02  1.125685503559354e+00 -2.021035429797838e-04 
 1.883649089489818e+02  1.125685502164924e+00 -2.060195917347391e-04 
 1.920141938638820e+02  1.125685500715938e+00 -2.100114966088823e-04 
 1.957341781487679e+02  1.125685499210266e+00 -2.140807274151010e-04 
 1.995262314968899e+02  1.125685497645687e+00 -2.182287824375178e-04 
 2.033917501372311e+02  1.125685496019901e+00 -2.224571889831541e-04 
 2.073321573485975e+02  1.125685494330509e+00 -2.267675039442772e-04 
 2.113489039836667e+02  1.125685492575025e+00 -2.311613143716425e-04 
 2.154434690031904e+02  1.125685490750860e+00 -2.356402380588368e-04 
 2.196173600205457e+02  1.125685488855332e+00 -2.402059241379461e-04 
 2.238721138568361e+02  1.125685486885645e+00 -2.448600536867537e-04 
 2.282092971067473e+02  1.125685484838901e+00 -2.496043403477088e-04 
 2.326305067153649e+02  1.125685482712080e+00 -2.544405309588788e-04 
 2.371373705661678e+02  1.125685480502056e+00 -2.593704061971295e-04 
 2.417315480804128e+02  1.125685478205571e+00 -2.643957812337565e-04 
 2.464147308281306e+02  1.125685475819241e+00 -2.695185064028257e-04 
 2.511886431509605e+02  1.125685473339552e+00 -2.747404678824532e-04 
 2.560550427970502e+02  1.125685470762853e+00 -2.800635883892889e-04 
 2.610157215682563e+02  1.125685468085347e+00 -2.854898278864451e-04 
 2.660725059798837e+02  1.125685465303091e+00 -2.910211843051467e-04 
 2.712272579332056e+02  1.125685462411988e+00 -2.966596942803557e-04 
 2.764818754010136e+02  1.125685459407775e+00 -3.024074339006467e-04 
 2.818382931264483e+02  1.125685456286034e+00 -3.082665194726128e-04 
 2.872984833353694e+02  1.125685453042161e+00 -3.142391083000685e-04 
 2.928644564625267e+02  1.125685449671381e+00 -3.203273994783601e-04 
 2.985382618917990e+02  1.125685446168728e+00 -3.265336347040537e-04 
 3.043219887107753e+02  1.125685442529043e+00 -3.328600991003133e-04 
 3.102177664799533e+02  1.125685438746966e+00 -3.393091220582630e-04 
 3.162277660168412e+02  1.125685434816926e+00 -3.458830780946527e-04 
 3.223542001952496e+02  1.125685430733133e+00 -3.525843877261336e-04 
 3.285993247600689e+02  1.125685426489571e+00 -3.594155183604733e-04 
 3.349654391578312e+02  1.125685422079993e+00 -3.663789852050351e-04 
 3.414548873833638e+02  1.125685417497902e+00 -3.734773521928537e-04 
 3.480700588428447e+02  1.125685412736549e+00 -3.807132329266484e-04 
 3.548133892335792e+02  1.125685407788920e+00 -3.880892916411311e-04 
 3.616873614408197e+02  1.125685402647731e+00 -3.956082441839498e-04 
 3.686945064519614e+02  1.125685397305405e+00 -4.032728590156323e-04 
