 frequency              onoise_spectrum        inoise_spectrum       
 5.308844442309899e+00  7.039053212641770e-06  1.742554704341188e-06 
 5.411695265464652e+00  6.980546139154010e-06  1.728070970085585e-06 
 5.516538667595595e+00  6.922530532080794e-06  1.713708900929980e-06 
 5.623413251903506e+00  6.865002214174118e-06  1.699467462774569e-06 
 5.732358369467730e+00  6.807957044202141e-06  1.685345630435553e-06 
 5.843414133735193e+00  6.751390916634951e-06  1.671342387567516e-06 
 5.956621435290122e+00  6.695299761331265e-06  1.657456726585348e-06 
 6.072021956909904e+00  6.639679543228181e-06  1.643687648588165e-06 
 6.189658188912625e+00  6.584526262034842e-06  1.630034163282703e-06 
 6.309573444801952e+00  6.529835951929192e-06  1.616495288909048e-06 
 6.431811877215107e+00  6.475604681255968e-06  1.603070052164957e-06 
 6.556418494179809e+00  6.421828552226699e-06  1.589757488132586e-06 
 6.683439175686167e+00  6.368503700625814e-06  1.576556640204923e-06 
 6.812920690579634e+00  6.315626295514857e-06  1.563466560012972e-06 
 6.944910713781234e+00  6.263192538943894e-06  1.550486307354261e-06 
 7.079457843841402e+00  6.211198665661130e-06  1.537614950120789e-06 
 7.216611620833906e+00  6.159640942829443e-06  1.524851564229189e-06 
 7.356422544596438e+00  6.108515669740494e-06  1.512195233549443e-06 
 7.498942093324583e+00  6.057819177536329e-06  1.499645049836569e-06 
 7.644222742526028e+00  6.007547828930284e-06  1.487200112661048e-06 
 7.792317984341968e+00  5.957698017931235e-06  1.474859529340862e-06 
 7.943282347242842e+00  5.908266169570599e-06  1.462622414873584e-06 
 8.097171416105647e+00  5.859248739631245e-06  1.450487891869673e-06 
 8.254041852680212e+00  5.810642214379223e-06  1.438455090485734e-06 
 8.413951416451980e+00  5.762443110297739e-06  1.426523148358718e-06 
 8.576958985908970e+00  5.714647973823461e-06  1.414691210541109e-06 
 8.743124580220766e+00  5.667253381084436e-06  1.402958429435203e-06 
 8.912509381337486e+00  5.620255937642953e-06  1.391323964730070e-06 
 9.085175756516900e+00  5.573652278236691e-06  1.379786983337278e-06 
 9.261187281287969e+00  5.527439066525349e-06  1.368346659328307e-06 
 9.440608762859268e+00  5.481612994838384e-06  1.357002173871691e-06 
 9.623506263980921e+00  5.436170783925214e-06  1.345752715171974e-06 
 9.809947127268810e+00  5.391109182706218e-06  1.334597478406966e-06 
 1.000000000000004e+01  5.346424968028658e-06  1.323535665668344e-06 
 1.019373485938877e+01  5.302114944423161e-06  1.312566485900904e-06 
 1.039122303835173e+01  5.258175943861550e-06  1.301689154842499e-06 
 1.059253725177293e+01  5.214604825518512e-06  1.290902894965327e-06 
 1.079775162327714e+01  5.171398475534392e-06  1.280206935416966e-06 
 1.100694171252214e+01  5.128553806780272e-06  1.269600511962455e-06 
 1.122018454301968e+01  5.086067758625438e-06  1.259082866926415e-06 
 1.143755863049543e+01  5.043937296706286e-06  1.248653249136328e-06 
 1.165914401179836e+01  5.002159412697692e-06  1.238310913865393e-06 
 1.188502227437023e+01  4.960731124087048e-06  1.228055122776829e-06 
 1.211527658628593e+01  4.919649473948125e-06  1.217885143868073e-06 
 1.234999172687590e+01  4.878911530720330e-06  1.207800251415758e-06 
 1.258925411794172e+01  4.838514387985992e-06  1.197799725920977e-06 
 1.283315185557657e+01  4.798455164253345e-06  1.187882854055195e-06 
 1.308177474260200e+01  4.758731002738196e-06  1.178048928606471e-06 
 1.333521432163330e+01  4.719339071150828e-06  1.168297248426599e-06 
 1.359356390878532e+01  4.680276561480878e-06  1.158627118377746e-06 
 1.385691862803134e+01  4.641540689787985e-06  1.149037849280782e-06 
 1.412537544622761e+01  4.603128695992087e-06  1.139528757863475e-06 
 1.439903320881639e+01  4.565037843664789e-06  1.130099166708499e-06 
 1.467799267622076e+01  4.527265419825857e-06  1.120748404203236e-06 
 1.496235656094440e+01  4.489808734737918e-06  1.111475804489126e-06 
 1.525222956539026e+01  4.452665121705226e-06  1.102280707411525e-06 
 1.554771842041181e+01  4.415831936872759e-06  1.093162458470255e-06 
 1.584893192461121e+01  4.379306559029229e-06  1.084120408770657e-06 
 1.615598098439882e+01  4.343086389408713e-06  1.075153914974415e-06 
 1.646897865482876e+01  4.307168851497610e-06  1.066262339252205e-06 
 1.678804018122569e+01  4.271551390839075e-06  1.057445049234648e-06 
 1.711328304161789e+01  4.236231474844595e-06  1.048701417966107e-06 
 1.744482698999263e+01  4.201206592600477e-06  1.040030823856730e-06 
 1.778279410038932e+01  4.166474254683511e-06  1.031432650636655e-06 
 1.812730881184708e+01  4.132031992971742e-06  1.022906287309263e-06 
 1.847849797422300e+01  4.097877360461085e-06  1.014451128105911e-06 
 1.883649089489810e+01  4.064007931081536e-06  1.006066572440098e-06 
