 v-sweep         iref_forced     iref_mos        iout_mos        error_vs_forced_pct error_vs_reference_mos_pct vdsat_abs       sat_margin     
 1.27000000e+00  1.00000000e-05  1.00000012e-05  1.04702031e-05  4.70203113e+00  4.70201874e+00  1.08670692e-01  1.16132931e+00 
 1.28000000e+00  1.00000000e-05  1.00000012e-05  1.04777870e-05  4.77787020e+00  4.77785780e+00  1.08670692e-01  1.17132931e+00 
 1.29000000e+00  1.00000000e-05  1.00000012e-05  1.04853591e-05  4.85359123e+00  4.85357882e+00  1.08670693e-01  1.18132931e+00 
 1.30000000e+00  1.00000000e-05  1.00000012e-05  1.04929197e-05  4.92919730e+00  4.92918488e+00  1.08670693e-01  1.19132931e+00 
 1.31000000e+00  1.00000000e-05  1.00000012e-05  1.05004691e-05  5.00469148e+00  5.00467905e+00  1.08670694e-01  1.20132931e+00 
 1.32000000e+00  1.00000000e-05  1.00000012e-05  1.05080077e-05  5.08007682e+00  5.08006439e+00  1.08670694e-01  1.21132931e+00 
 1.33000000e+00  1.00000000e-05  1.00000012e-05  1.05155356e-05  5.15535642e+00  5.15534397e+00  1.08670695e-01  1.22132931e+00 
 1.34000000e+00  1.00000000e-05  1.00000012e-05  1.05230533e-05  5.23053335e+00  5.23052090e+00  1.08670695e-01  1.23132930e+00 
 1.35000000e+00  1.00000000e-05  1.00000012e-05  1.05305611e-05  5.30561074e+00  5.30559828e+00  1.08670696e-01  1.24132930e+00 
 1.36000000e+00  1.00000000e-05  1.00000012e-05  1.05380592e-05  5.38059172e+00  5.38057925e+00  1.08670696e-01  1.25132930e+00 
 1.37000000e+00  1.00000000e-05  1.00000012e-05  1.05455479e-05  5.45547944e+00  5.45546696e+00  1.08670697e-01  1.26132930e+00 
 1.38000000e+00  1.00000000e-05  1.00000012e-05  1.05530277e-05  5.53027712e+00  5.53026463e+00  1.08670697e-01  1.27132930e+00 
 1.39000000e+00  1.00000000e-05  1.00000012e-05  1.05604988e-05  5.60498798e+00  5.60497548e+00  1.08670698e-01  1.28132930e+00 
 1.40000000e+00  1.00000000e-05  1.00000012e-05  1.05679615e-05  5.67961531e+00  5.67960280e+00  1.08670698e-01  1.29132930e+00 
 1.41000000e+00  1.00000000e-05  1.00000012e-05  1.05754162e-05  5.75416243e+00  5.75414991e+00  1.08670699e-01  1.30132930e+00 
 1.42000000e+00  1.00000000e-05  1.00000012e-05  1.05828633e-05  5.82863272e+00  5.82862019e+00  1.08670699e-01  1.31132930e+00 
 1.43000000e+00  1.00000000e-05  1.00000012e-05  1.05903030e-05  5.90302962e+00  5.90301708e+00  1.08670700e-01  1.32132930e+00 
 1.44000000e+00  1.00000000e-05  1.00000012e-05  1.05977357e-05  5.97735662e+00  5.97734408e+00  1.08670700e-01  1.33132930e+00 
 1.45000000e+00  1.00000000e-05  1.00000012e-05  1.06051617e-05  6.05161730e+00  6.05160475e+00  1.08670701e-01  1.34132930e+00 
 1.46000000e+00  1.00000000e-05  1.00000012e-05  1.06125815e-05  6.12581530e+00  6.12580274e+00  1.08670702e-01  1.35132930e+00 
 1.47000000e+00  1.00000000e-05  1.00000012e-05  1.06199954e-05  6.19995431e+00  6.19994174e+00  1.08670702e-01  1.36132930e+00 
 1.48000000e+00  1.00000000e-05  1.00000012e-05  1.06274038e-05  6.27403814e+00  6.27402556e+00  1.08670703e-01  1.37132930e+00 
 1.49000000e+00  1.00000000e-05  1.00000012e-05  1.06348071e-05  6.34807066e+00  6.34805807e+00  1.08670703e-01  1.38132930e+00 
 1.50000000e+00  1.00000000e-05  1.00000012e-05  1.06422056e-05  6.42205583e+00  6.42204324e+00  1.08670704e-01  1.39132930e+00 
 1.51000000e+00  1.00000000e-05  1.00000012e-05  1.06495998e-05  6.49599772e+00  6.49598512e+00  1.08670705e-01  1.40132930e+00 
 1.52000000e+00  1.00000000e-05  1.00000012e-05  1.06569900e-05  6.56990048e+00  6.56988787e+00  1.08670705e-01  1.41132929e+00 
 1.53000000e+00  1.00000000e-05  1.00000012e-05  1.06643768e-05  6.64376836e+00  6.64375574e+00  1.08670706e-01  1.42132929e+00 
 1.54000000e+00  1.00000000e-05  1.00000012e-05  1.06717606e-05  6.71760573e+00  6.71759310e+00  1.08670707e-01  1.43132929e+00 
 1.55000000e+00  1.00000000e-05  1.00000012e-05  1.06791417e-05  6.79141706e+00  6.79140442e+00  1.08670707e-01  1.44132929e+00 
