 v-sweep         id_abs          gm_abs          gds_abs         vth_abs         vdsat_abs       gm_id           gm_gds         
 1.70000000e+00  2.12541278e-03  2.38660426e-03  3.59974535e-04  7.07653677e-01  3.32753861e-01  1.12288977e+00  6.62992524e+00 
 1.71000000e+00  2.14925604e-03  2.38203178e-03  3.62589626e-04  7.07653677e-01  3.34628249e-01  1.10830526e+00  6.56949787e+00 
 1.72000000e+00  2.17305312e-03  2.37736940e-03  3.65213175e-04  7.07653677e-01  3.36511302e-01  1.09402268e+00  6.50953899e+00 
 1.73000000e+00  2.19680313e-03  2.37261977e-03  3.67845747e-04  7.07653677e-01  3.38403260e-01  1.08003295e+00  6.45003997e+00 
 1.74000000e+00  2.22050523e-03  2.36778543e-03  3.70487908e-04  7.07653677e-01  3.40304352e-01  1.06632734e+00  6.39099245e+00 
 1.75000000e+00  2.24415857e-03  2.36286884e-03  3.73140227e-04  7.07653677e-01  3.42214801e-01  1.05289745e+00  6.33238837e+00 
 1.76000000e+00  2.26776234e-03  2.35787238e-03  3.75803273e-04  7.07653677e-01  3.44134821e-01  1.03973522e+00  6.27421992e+00 
 1.77000000e+00  2.29131576e-03  2.35279835e-03  3.78477616e-04  7.07653677e-01  3.46064618e-01  1.02683288e+00  6.21647954e+00 
 1.78000000e+00  2.31481806e-03  2.34764899e-03  3.81163831e-04  7.07653677e-01  3.48004391e-01  1.01418294e+00  6.15915991e+00 
 1.79000000e+00  2.33826849e-03  2.34242642e-03  3.83862494e-04  7.07653677e-01  3.49954333e-01  1.00177821e+00  6.10225395e+00 
 1.80000000e+00  2.36166635e-03  2.33713272e-03  3.86574186e-04  7.07653677e-01  3.51914627e-01  9.89611732e-01  6.04575476e+00 
