 frequency              gain                  
 1.359356390878550e+04  1.046672261690407e+00 
 1.385691862803152e+04  1.046672231863778e+00 
 1.412537544622780e+04  1.046672200870201e+00 
 1.439903320881659e+04  1.046672168664143e+00 
 1.467799267622096e+04  1.046672135198054e+00 
 1.496235656094461e+04  1.046672100422787e+00 
 1.525222956539047e+04  1.046672064286916e+00 
 1.554771842041202e+04  1.046672026737374e+00 
 1.584893192461143e+04  1.046671987718836e+00 
 1.615598098439904e+04  1.046671947173810e+00 
 1.646897865482899e+04  1.046671905042516e+00 
 1.678804018122592e+04  1.046671861262971e+00 
 1.711328304161813e+04  1.046671815770684e+00 
 1.744482698999287e+04  1.046671768498613e+00 
 1.778279410038956e+04  1.046671719377120e+00 
 1.812730881184733e+04  1.046671668333922e+00 
 1.847849797422326e+04  1.046671615293775e+00 
 1.883649089489836e+04  1.046671560178584e+00 
 1.920141938638838e+04  1.046671502907129e+00 
 1.957341781487698e+04  1.046671443395142e+00 
 1.995262314968918e+04  1.046671381554882e+00 
 2.033917501372331e+04  1.046671317295194e+00 
 2.073321573485995e+04  1.046671250521634e+00 
 2.113489039836688e+04  1.046671181135690e+00 
 2.154434690031925e+04  1.046671109035199e+00 
 2.196173600205479e+04  1.046671034114025e+00 
 2.238721138568383e+04  1.046670956261714e+00 
 2.282092971067495e+04  1.046670875363678e+00 
 2.326305067153671e+04  1.046670791300712e+00 
 2.371373705661701e+04  1.046670703948964e+00 
 2.417315480804151e+04  1.046670613179858e+00 
 2.464147308281330e+04  1.046670518859638e+00 
 2.511886431509629e+04  1.046670420849361e+00 
 2.560550427970526e+04  1.046670319004716e+00 
 2.610157215682588e+04  1.046670213175671e+00 
 2.660725059798862e+04  1.046670103206324e+00 
 2.712272579332082e+04  1.046669988934744e+00 
 2.764818754010162e+04  1.046669870192616e+00 
 2.818382931264510e+04  1.046669746804994e+00 
 2.872984833353721e+04  1.046669618590170e+00 
 2.928644564625295e+04  1.046669485359259e+00 
 2.985382618918019e+04  1.046669346916018e+00 
 3.043219887107782e+04  1.046669203056596e+00 
 3.102177664799563e+04  1.046669053569021e+00 
 3.162277660168443e+04  1.046668898233128e+00 
 3.223542001952527e+04  1.046668736820146e+00 
 3.285993247600720e+04  1.046668569092298e+00 
 3.349654391578344e+04  1.046668394802553e+00 
 3.414548873833670e+04  1.046668213694165e+00 
 3.480700588428481e+04  1.046668025500387e+00 
 3.548133892335826e+04  1.046667829944058e+00 
 3.616873614408232e+04  1.046667626737062e+00 
 3.686945064519650e+04  1.046667415580050e+00 
 3.758374042884518e+04  1.046667196162170e+00 
 3.831186849557365e+04  1.046666968160116e+00 
 3.905410294116459e+04  1.046666731238044e+00 
 3.981071705535053e+04  1.046666485047089e+00 
 4.058198942243881e+04  1.046666229224509e+00 
 4.136820402388591e+04  1.046665963393532e+00 
 4.216965034285909e+04  1.046665687162569e+00 
 4.298662347082365e+04  1.046665400124827e+00 
 4.381942421619527e+04  1.046665101857474e+00 
 4.466835921509723e+04  1.046664791921151e+00 
 4.553374104426344e+04  1.046664469859416e+00 
 4.641588833612874e+04  1.046664135197783e+00 
 4.731512589614902e+04  1.046663787443338e+00 
 4.823178482239406e+04  1.046663426083892e+00 
 4.916620262745745e+04  1.046663050587213e+00 
 5.011872336272826e+04  1.046662660400230e+00 
 5.108969774507033e+04  1.046662254948112e+00 
 5.207948328595571e+04  1.046661833633741e+00 
 5.308844442309994e+04  1.046661395836521e+00 
 5.411695265464750e+04  1.046660940911516e+00 
 5.516538667595695e+04  1.046660468188739e+00 
 5.623413251903608e+04  1.046659976971877e+00 
 5.732358369467833e+04  1.046659466537312e+00 
 5.843414133735298e+04  1.046658936133353e+00 
 5.956621435290229e+04  1.046658384978597e+00 
 6.072021956910013e+04  1.046657812261247e+00 
 6.189658188912735e+04  1.046657217137785e+00 
