 frequency              gain                  
 1.333521432163330e+01  1.595635241175966e+01 
 1.359356390878532e+01  1.595635241166677e+01 
 1.385691862803134e+01  1.595635241157024e+01 
 1.412537544622761e+01  1.595635241147046e+01 
 1.439903320881639e+01  1.595635241136658e+01 
 1.467799267622076e+01  1.595635241125816e+01 
 1.496235656094440e+01  1.595635241114593e+01 
 1.525222956539026e+01  1.595635241102925e+01 
 1.554771842041181e+01  1.595635241090693e+01 
 1.584893192461121e+01  1.595635241078135e+01 
 1.615598098439882e+01  1.595635241064980e+01 
 1.646897865482876e+01  1.595635241051284e+01 
 1.678804018122569e+01  1.595635241037131e+01 
 1.711328304161789e+01  1.595635241022422e+01 
 1.744482698999263e+01  1.595635241007155e+01 
 1.778279410038932e+01  1.595635240991335e+01 
 1.812730881184708e+01  1.595635240974825e+01 
 1.847849797422300e+01  1.595635240957626e+01 
 1.883649089489810e+01  1.595635240939772e+01 
 1.920141938638811e+01  1.595635240921174e+01 
 1.957341781487670e+01  1.595635240901925e+01 
 1.995262314968890e+01  1.595635240881935e+01 
 2.033917501372302e+01  1.595635240861202e+01 
 2.073321573485966e+01  1.595635240839598e+01 
 2.113489039836658e+01  1.595635240817121e+01 
 2.154434690031895e+01  1.595635240793732e+01 
 2.196173600205448e+01  1.595635240769493e+01 
 2.238721138568352e+01  1.595635240744376e+01 
 2.282092971067463e+01  1.595635240718141e+01 
 2.326305067153639e+01  1.595635240691008e+01 
 2.371373705661668e+01  1.595635240662648e+01 
 2.417315480804117e+01  1.595635240633328e+01 
 2.464147308281295e+01  1.595635240602847e+01 
 2.511886431509594e+01  1.595635240571149e+01 
 2.560550427970491e+01  1.595635240538101e+01 
 2.610157215682552e+01  1.595635240503911e+01 
 2.660725059798825e+01  1.595635240468369e+01 
 2.712272579332044e+01  1.595635240431413e+01 
 2.764818754010124e+01  1.595635240392911e+01 
 2.818382931264470e+01  1.595635240353075e+01 
 2.872984833353682e+01  1.595635240311529e+01 
 2.928644564625254e+01  1.595635240268397e+01 
 2.985382618917978e+01  1.595635240223618e+01 
 3.043219887107740e+01  1.595635240177063e+01 
 3.102177664799520e+01  1.595635240128705e+01 
 3.162277660168399e+01  1.595635240078435e+01 
 3.223542001952483e+01  1.595635240026167e+01 
 3.285993247600675e+01  1.595635239971992e+01 
 3.349654391578298e+01  1.595635239915461e+01 
 3.414548873833623e+01  1.595635239857000e+01 
 3.480700588428433e+01  1.595635239796082e+01 
 3.548133892335778e+01  1.595635239732817e+01 
 3.616873614408183e+01  1.595635239667100e+01 
 3.686945064519600e+01  1.595635239598768e+01 
 3.758374042884466e+01  1.595635239527653e+01 
 3.831186849557313e+01  1.595635239453912e+01 
 3.905410294116406e+01  1.595635239377270e+01 
 3.981071705534999e+01  1.595635239297656e+01 
 4.058198942243826e+01  1.595635239214902e+01 
 4.136820402388535e+01  1.595635239128801e+01 
 4.216965034285851e+01  1.595635239039509e+01 
 4.298662347082306e+01  1.595635238946545e+01 
 4.381942421619467e+01  1.595635238850092e+01 
 4.466835921509661e+01  1.595635238749763e+01 
 4.553374104426280e+01  1.595635238645509e+01 
 4.641588833612811e+01  1.595635238537275e+01 
 4.731512589614837e+01  1.595635238424776e+01 
 4.823178482239340e+01  1.595635238307851e+01 
 4.916620262745678e+01  1.595635238186318e+01 
 5.011872336272758e+01  1.595635238060066e+01 
 5.108969774506964e+01  1.595635237928861e+01 
 5.207948328595500e+01  1.595635237792585e+01 
 5.308844442309921e+01  1.595635237650932e+01 
 5.411695265464675e+01  1.595635237503680e+01 
 5.516538667595619e+01  1.595635237350727e+01 
 5.623413251903531e+01  1.595635237191864e+01 
 5.732358369467754e+01  1.595635237026670e+01 
 5.843414133735218e+01  1.595635236854963e+01 
 5.956621435290148e+01  1.595635236676713e+01 
 6.072021956909929e+01  1.595635236491318e+01 
 6.189658188912651e+01  1.595635236298821e+01 
 6.309573444801979e+01  1.595635236098705e+01 
 6.431811877215135e+01  1.595635235890838e+01 
 6.556418494179837e+01  1.595635235674739e+01 
 6.683439175686196e+01  1.595635235450245e+01 
 6.812920690579664e+01  1.595635235216884e+01 
 6.944910713781265e+01  1.595635234974456e+01 
 7.079457843841433e+01  1.595635234722525e+01 
 7.216611620833937e+01  1.595635234460780e+01 
 7.356422544596469e+01  1.595635234188882e+01 
 7.498942093324617e+01  1.595635233906275e+01 
 7.644222742526063e+01  1.595635233612551e+01 
 7.792317984342003e+01  1.595635233307315e+01 
 7.943282347242878e+01  1.595635232990196e+01 
 8.097171416105684e+01  1.595635232660647e+01 
 8.254041852680250e+01  1.595635232318176e+01 
 8.413951416452018e+01  1.595635231962470e+01 
 8.576958985909010e+01  1.595635231592654e+01 
 8.743124580220807e+01  1.595635231208512e+01 
 8.912509381337527e+01  1.595635230809147e+01 
 9.085175756516942e+01  1.595635230394340e+01 
 9.261187281288011e+01  1.595635229963241e+01 
 9.440608762859311e+01  1.595635229515352e+01 
 9.623506263980966e+01  1.595635229049737e+01 
 9.809947127268855e+01  1.595635228566134e+01 
 1.000000000000008e+02  1.595635228063508e+01 
 1.019373485938881e+02  1.595635227541109e+01 
