 frequency       ad              ad              vdiff           vdiff           v(VOUT)         v(VOUT)	manifest_sha256
 3.41454887e+00  2.60566852e+03 -1.10722787e+00  1.00000000e+00 -2.40553418e-21  2.60566852e+03 -1.10722787e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.48070059e+00  2.60566850e+03 -1.12887720e+00  1.00000000e+00 -2.36023146e-21  2.60566850e+03 -1.12887720e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.54813389e+00  2.60566848e+03 -1.15094218e+00  1.00000000e+00 -2.31576651e-21  2.60566848e+03 -1.15094218e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.61687361e+00  2.60566846e+03 -1.17343093e+00  1.00000000e+00 -2.27212473e-21  2.60566846e+03 -1.17343093e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.68694506e+00  2.60566844e+03 -1.19635174e+00  1.00000000e+00 -2.22929169e-21  2.60566844e+03 -1.19635174e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.75837404e+00  2.60566842e+03 -1.21971305e+00  1.00000000e+00 -2.18725317e-21  2.60566842e+03 -1.21971305e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.83118685e+00  2.60566840e+03 -1.24352345e+00  1.00000000e+00 -2.14599517e-21  2.60566840e+03 -1.24352345e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.90541029e+00  2.60566837e+03 -1.26779171e+00  1.00000000e+00 -2.10550389e-21  2.60566837e+03 -1.26779171e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.98107171e+00  2.60566835e+03 -1.29252677e+00  1.00000000e+00 -2.06576573e-21  2.60566835e+03 -1.29252677e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.05819894e+00  2.60566832e+03 -1.31773774e+00  1.00000000e+00 -2.02676730e-21  2.60566832e+03 -1.31773774e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
