frequency_hz,real,imag,abs,unwrapped_phase_deg,min_singular_value
8.743124580220765552e+00,9.455771362760564312e+06,-1.834596454190197110e+05,9.457550925387609750e+06,-1.111505802725791137e+00,9.425490876371397375e-01
8.912509381337486047e+00,9.455639103649936616e+06,-1.870114198837252043e+05,9.457488256912652403e+06,-1.133034816761973040e+00,9.425490876179936084e-01
9.085175756516900236e+00,9.455501672404393554e+06,-1.906318577564177685e+05,9.457423136459209025e+06,-1.154980642597494667e+00,9.425490875968151050e-01
9.261187281287968531e+00,9.455358868893953040e+06,-1.943222806684406532e+05,9.457355470126716420e+06,-1.177351338955519466e+00,9.425490875759501286e-01
9.440608762859268310e+00,9.455210484976984560e+06,-1.980840353402096371e+05,9.457285160143757239e+06,-1.200155119698401718e+00,9.425490875527130497e-01
9.623506263980921460e+00,9.455056299668239430e+06,-2.019184938489038614e+05,9.457212100193919614e+06,-1.223400356222783092e+00,9.425490875277450220e-01
9.809947127268809908e+00,9.454896086272992194e+06,-2.058270543876816810e+05,9.457136182721396908e+06,-1.247095581331667979e+00,9.425490875059422402e-01
1.000000000000004086e+01,9.454729611264327541e+06,-2.098111417133275827e+05,9.457057297981522977e+06,-1.271249492228328393e+00,9.425490874808896136e-01
1.019373485938877089e+01,9.454556629570651799e+06,-2.138722074382253923e+05,9.456975329505352303e+06,-1.295870953080163757e+00,9.425490874551177845e-01
1.039122303835173078e+01,9.454376886314438656e+06,-2.180117305988853623e+05,9.456890156026737764e+06,-1.320968998435972042e+00,9.425490874271695851e-01
1.059253725177292971e+01,9.454190116924991831e+06,-2.222312181676572654e+05,9.456801651789598167e+06,-1.346552836510317208e+00,9.425490873990701735e-01
1.079775162327714000e+01,9.453996050173630938e+06,-2.265322057117427757e+05,9.456709689787629992e+06,-1.372631852940828345e+00,9.425490873706094952e-01
1.100694171252214026e+01,9.453794397110367194e+06,-2.309162574072549760e+05,9.456614130901733413e+06,-1.399215612680396514e+00,9.425490873401027869e-01
1.122018454301968049e+01,9.453584864589644596e+06,-2.353849671957178507e+05,9.456514837654523551e+06,-1.426313865295413041e+00,9.425490873093710364e-01
1.143755863049542931e+01,9.453367142704289407e+06,-2.399399587355449912e+05,9.456411661859856918e+06,-1.453936546752844228e+00,9.425490872762629646e-01
1.165914401179835913e+01,9.453140914988804609e+06,-2.445828864410513197e+05,9.456304455069918185e+06,-1.482093784453218266e+00,9.425490872414802324e-01
1.188502227437023073e+01,9.452905846645716578e+06,-2.493154354609441361e+05,9.456193057034520432e+06,-1.510795899178148272e+00,9.425490872075971138e-01
1.211527658628592974e+01,9.452661593461550772e+06,-2.541393226835469541e+05,9.456077304878439754e+06,-1.540053410110675758e+00,9.425490871695236805e-01
1.234999172687589919e+01,9.452407797248488292e+06,-2.590562970802105265e+05,9.455957028801523149e+06,-1.569877037929959585e+00,9.425490871315485020e-01
1.258925411794172078e+01,9.452144085445992649e+06,-2.640681402708722744e+05,9.455832051952792332e+06,-1.600277708642716235e+00,9.425490870927473175e-01
1.283315185557657045e+01,9.451870072478344664e+06,-2.691766671836370951e+05,9.455702192072667181e+06,-1.631266557700527420e+00,9.425490870505778274e-01
1.308177474260200057e+01,9.451585353986367583e+06,-2.743837263367066626e+05,9.455567256012091413e+06,-1.662854933067474672e+00,9.425490870090126316e-01
1.333521432163330012e+01,9.451289511824963614e+06,-2.796912007173828315e+05,9.455427045040920377e+06,-1.695054400103279235e+00,9.425490869653077031e-01
