 frequency              onoise_spectrum       
 9.440608762859248e+06  2.367498615557147e-08 
 1.000000000000001e+07  2.277039655316290e-08 
 1.059253725177290e+07  2.186978878903624e-08 
 1.122018454301965e+07  2.097628403064764e-08 
 1.188502227437020e+07  2.009290621659467e-08 
 1.258925411794169e+07  1.922252248431544e-08 
 1.333521432163326e+07  1.836779285925971e-08 
 1.412537544622757e+07  1.753113048527359e-08 
 1.496235656094436e+07  1.671467292816248e-08 
 1.584893192461116e+07  1.592026440175691e-08 
 1.678804018122563e+07  1.514944819875004e-08 
 1.778279410038926e+07  1.440346818565339e-08 
 1.883649089489803e+07  1.368327795039475e-08 
 1.995262314968883e+07  1.298955606302299e-08 
 2.113489039836650e+07  1.232272590379816e-08 
 2.238721138568343e+07  1.168297860118520e-08 
 2.371373705661659e+07  1.107029777591300e-08 
 2.511886431509584e+07  1.048448497921197e-08 
 2.660725059798814e+07  9.925184920603506e-09 
 2.818382931264459e+07  9.391909785456286e-09 
 2.985382618917965e+07  8.884062132451341e-09 
 3.162277660168385e+07  8.400956028466808e-09 
 3.349654391578282e+07  7.941836219472947e-09 
 3.548133892335761e+07  7.505895250108157e-09 
 3.758374042884448e+07  7.092288533005476e-09 
 3.981071705534980e+07  6.700147434299704e-09 
 4.216965034285830e+07  6.328590487315812e-09 
 4.466835921509639e+07  5.976732875679290e-09 
 4.731512589614813e+07  5.643694343336066e-09 
 5.011872336272731e+07  5.328605695233139e-09 
 5.308844442309893e+07  5.030614051319623e-09 
 5.623413251903501e+07  4.748887010250664e-09 
 5.956621435290115e+07  4.482615869478901e-09 
 6.309573444801944e+07  4.231018036668536e-09 
 6.683439175686158e+07  3.993338754609019e-09 
 7.079457843841392e+07  3.768852248798019e-09 
 7.498942093324572e+07  3.556862394145305e-09 
 7.943282347242829e+07  3.356702985175047e-09 
 8.413951416451965e+07  3.167737682897400e-09 
 8.912509381337471e+07  2.989359701297633e-09 
 9.440608762859251e+07  2.820991287198560e-09 
 1.000000000000002e+08  2.662083039081148e-09 
