polarity,physical_row,physical_col,core_row,core_col,net,electrical,instance,local_x_um,local_y_um
P,3,60,2,59,B11,1,XP_r03_c60_B11,360.000,13.620
P,3,61,2,60,B11,1,XP_r03_c61_B11,366.000,13.620
P,3,62,2,61,B11,1,XP_r03_c62_B11,372.000,13.620
P,3,63,2,62,B11,1,XP_r03_c63_B11,378.000,13.620
P,3,64,2,63,B8,1,XP_r03_c64_B8,384.000,13.620
P,3,65,,,EDGE,0,XP_r03_c65_EDGE,390.000,13.620
P,4,0,,,EDGE,0,XP_r04_c00_EDGE,0.000,18.160
P,4,1,3,0,B11,1,XP_r04_c01_B11,6.000,18.160
P,4,2,3,1,B11,1,XP_r04_c02_B11,12.000,18.160
P,4,3,3,2,B11,1,XP_r04_c03_B11,18.000,18.160
P,4,4,3,3,B11,1,XP_r04_c04_B11,24.000,18.160
P,4,5,3,4,B11,1,XP_r04_c05_B11,30.000,18.160
P,4,6,3,5,B11,1,XP_r04_c06_B11,36.000,18.160
P,4,7,3,6,B11,1,XP_r04_c07_B11,42.000,18.160
P,4,8,3,7,B11,1,XP_r04_c08_B11,48.000,18.160
P,4,9,3,8,B11,1,XP_r04_c09_B11,54.000,18.160
P,4,10,3,9,B11,1,XP_r04_c10_B11,60.000,18.160
P,4,11,3,10,B11,1,XP_r04_c11_B11,66.000,18.160
P,4,12,3,11,B11,1,XP_r04_c12_B11,72.000,18.160
P,4,13,3,12,B11,1,XP_r04_c13_B11,78.000,18.160
P,4,14,3,13,B11,1,XP_r04_c14_B11,84.000,18.160
P,4,15,3,14,B11,1,XP_r04_c15_B11,90.000,18.160
P,4,16,3,15,B11,1,XP_r04_c16_B11,96.000,18.160
P,4,17,3,16,B11,1,XP_r04_c17_B11,102.000,18.160
P,4,18,3,17,B11,1,XP_r04_c18_B11,108.000,18.160
P,4,19,3,18,B11,1,XP_r04_c19_B11,114.000,18.160
P,4,20,3,19,B11,1,XP_r04_c20_B11,120.000,18.160
P,4,21,3,20,B11,1,XP_r04_c21_B11,126.000,18.160
P,4,22,3,21,B11,1,XP_r04_c22_B11,132.000,18.160
P,4,23,3,22,B11,1,XP_r04_c23_B11,138.000,18.160
P,4,24,3,23,B11,1,XP_r04_c24_B11,144.000,18.160
P,4,25,3,24,B11,1,XP_r04_c25_B11,150.000,18.160
P,4,26,3,25,B11,1,XP_r04_c26_B11,156.000,18.160
P,4,27,3,26,B11,1,XP_r04_c27_B11,162.000,18.160
P,4,28,3,27,B11,1,XP_r04_c28_B11,168.000,18.160
P,4,29,3,28,B11,1,XP_r04_c29_B11,174.000,18.160
P,4,30,3,29,B11,1,XP_r04_c30_B11,180.000,18.160
P,4,31,3,30,B11,1,XP_r04_c31_B11,186.000,18.160
P,4,32,3,31,B11,1,XP_r04_c32_B11,192.000,18.160
P,4,33,3,32,B11,1,XP_r04_c33_B11,198.000,18.160
P,4,34,3,33,B11,1,XP_r04_c34_B11,204.000,18.160
P,4,35,3,34,B11,1,XP_r04_c35_B11,210.000,18.160
P,4,36,3,35,B11,1,XP_r04_c36_B11,216.000,18.160
P,4,37,3,36,B11,1,XP_r04_c37_B11,222.000,18.160
P,4,38,3,37,B11,1,XP_r04_c38_B11,228.000,18.160
P,4,39,3,38,B11,1,XP_r04_c39_B11,234.000,18.160
P,4,40,3,39,B11,1,XP_r04_c40_B11,240.000,18.160
P,4,41,3,40,B11,1,XP_r04_c41_B11,246.000,18.160
P,4,42,3,41,B11,1,XP_r04_c42_B11,252.000,18.160
P,4,43,3,42,B11,1,XP_r04_c43_B11,258.000,18.160
P,4,44,3,43,B11,1,XP_r04_c44_B11,264.000,18.160
P,4,45,3,44,B11,1,XP_r04_c45_B11,270.000,18.160
P,4,46,3,45,B11,1,XP_r04_c46_B11,276.000,18.160
P,4,47,3,46,B11,1,XP_r04_c47_B11,282.000,18.160
P,4,48,3,47,B11,1,XP_r04_c48_B11,288.000,18.160
P,4,49,3,48,B11,1,XP_r04_c49_B11,294.000,18.160
P,4,50,3,49,B11,1,XP_r04_c50_B11,300.000,18.160
P,4,51,3,50,B11,1,XP_r04_c51_B11,306.000,18.160
P,4,52,3,51,B11,1,XP_r04_c52_B11,312.000,18.160
P,4,53,3,52,B11,1,XP_r04_c53_B11,318.000,18.160
P,4,54,3,53,B11,1,XP_r04_c54_B11,324.000,18.160
P,4,55,3,54,B11,1,XP_r04_c55_B11,330.000,18.160
P,4,56,3,55,B11,1,XP_r04_c56_B11,336.000,18.160
P,4,57,3,56,B11,1,XP_r04_c57_B11,342.000,18.160
P,4,58,3,57,B11,1,XP_r04_c58_B11,348.000,18.160
P,4,59,3,58,B11,1,XP_r04_c59_B11,354.000,18.160
P,4,60,3,59,B11,1,XP_r04_c60_B11,360.000,18.160
P,4,61,3,60,B11,1,XP_r04_c61_B11,366.000,18.160
P,4,62,3,61,B11,1,XP_r04_c62_B11,372.000,18.160
P,4,63,3,62,B11,1,XP_r04_c63_B11,378.000,18.160
P,4,64,3,63,B8,1,XP_r04_c64_B8,384.000,18.160
P,4,65,,,EDGE,0,XP_r04_c65_EDGE,390.000,18.160
P,5,0,,,EDGE,0,XP_r05_c00_EDGE,0.000,22.700
P,5,1,4,0,B11,1,XP_r05_c01_B11,6.000,22.700
P,5,2,4,1,B11,1,XP_r05_c02_B11,12.000,22.700
P,5,3,4,2,B11,1,XP_r05_c03_B11,18.000,22.700
P,5,4,4,3,B11,1,XP_r05_c04_B11,24.000,22.700
P,5,5,4,4,B11,1,XP_r05_c05_B11,30.000,22.700
P,5,6,4,5,B11,1,XP_r05_c06_B11,36.000,22.700
P,5,7,4,6,B11,1,XP_r05_c07_B11,42.000,22.700
P,5,8,4,7,B11,1,XP_r05_c08_B11,48.000,22.700
P,5,9,4,8,B11,1,XP_r05_c09_B11,54.000,22.700
P,5,10,4,9,B11,1,XP_r05_c10_B11,60.000,22.700
P,5,11,4,10,B11,1,XP_r05_c11_B11,66.000,22.700
P,5,12,4,11,B11,1,XP_r05_c12_B11,72.000,22.700
P,5,13,4,12,B11,1,XP_r05_c13_B11,78.000,22.700
P,5,14,4,13,B11,1,XP_r05_c14_B11,84.000,22.700
P,5,15,4,14,B11,1,XP_r05_c15_B11,90.000,22.700
P,5,16,4,15,B11,1,XP_r05_c16_B11,96.000,22.700
P,5,17,4,16,B11,1,XP_r05_c17_B11,102.000,22.700
P,5,18,4,17,B11,1,XP_r05_c18_B11,108.000,22.700
P,5,19,4,18,B11,1,XP_r05_c19_B11,114.000,22.700
P,5,20,4,19,B11,1,XP_r05_c20_B11,120.000,22.700
P,5,21,4,20,B11,1,XP_r05_c21_B11,126.000,22.700
P,5,22,4,21,B11,1,XP_r05_c22_B11,132.000,22.700
P,5,23,4,22,B11,1,XP_r05_c23_B11,138.000,22.700
P,5,24,4,23,B11,1,XP_r05_c24_B11,144.000,22.700
P,5,25,4,24,B11,1,XP_r05_c25_B11,150.000,22.700
P,5,26,4,25,B11,1,XP_r05_c26_B11,156.000,22.700
P,5,27,4,26,B11,1,XP_r05_c27_B11,162.000,22.700
P,5,28,4,27,B11,1,XP_r05_c28_B11,168.000,22.700
P,5,29,4,28,B11,1,XP_r05_c29_B11,174.000,22.700
P,5,30,4,29,B11,1,XP_r05_c30_B11,180.000,22.700
P,5,31,4,30,B11,1,XP_r05_c31_B11,186.000,22.700
P,5,32,4,31,B11,1,XP_r05_c32_B11,192.000,22.700
P,5,33,4,32,B11,1,XP_r05_c33_B11,198.000,22.700
P,5,34,4,33,B11,1,XP_r05_c34_B11,204.000,22.700
P,5,35,4,34,B11,1,XP_r05_c35_B11,210.000,22.700
P,5,36,4,35,B11,1,XP_r05_c36_B11,216.000,22.700
P,5,37,4,36,B11,1,XP_r05_c37_B11,222.000,22.700
P,5,38,4,37,B11,1,XP_r05_c38_B11,228.000,22.700
P,5,39,4,38,B11,1,XP_r05_c39_B11,234.000,22.700
P,5,40,4,39,B11,1,XP_r05_c40_B11,240.000,22.700
P,5,41,4,40,B11,1,XP_r05_c41_B11,246.000,22.700
P,5,42,4,41,B11,1,XP_r05_c42_B11,252.000,22.700
P,5,43,4,42,B11,1,XP_r05_c43_B11,258.000,22.700
P,5,44,4,43,B11,1,XP_r05_c44_B11,264.000,22.700
P,5,45,4,44,B11,1,XP_r05_c45_B11,270.000,22.700
P,5,46,4,45,B11,1,XP_r05_c46_B11,276.000,22.700
P,5,47,4,46,B11,1,XP_r05_c47_B11,282.000,22.700
P,5,48,4,47,B11,1,XP_r05_c48_B11,288.000,22.700
P,5,49,4,48,B11,1,XP_r05_c49_B11,294.000,22.700
P,5,50,4,49,B11,1,XP_r05_c50_B11,300.000,22.700
P,5,51,4,50,B11,1,XP_r05_c51_B11,306.000,22.700
P,5,52,4,51,B11,1,XP_r05_c52_B11,312.000,22.700
P,5,53,4,52,B11,1,XP_r05_c53_B11,318.000,22.700
P,5,54,4,53,B11,1,XP_r05_c54_B11,324.000,22.700
P,5,55,4,54,B11,1,XP_r05_c55_B11,330.000,22.700
P,5,56,4,55,B11,1,XP_r05_c56_B11,336.000,22.700
P,5,57,4,56,B11,1,XP_r05_c57_B11,342.000,22.700
P,5,58,4,57,B11,1,XP_r05_c58_B11,348.000,22.700
