 frequency       gain_db         phase_deg      
 3.80189396e+03  4.14724839e+01  1.79972674e+02 
 3.89045145e+03  4.14724839e+01  1.79972038e+02 
 3.98107171e+03  4.14724838e+01  1.79971386e+02 
 4.07380278e+03  4.14724838e+01  1.79970720e+02 
 4.16869383e+03  4.14724837e+01  1.79970038e+02 
 4.26579519e+03  4.14724837e+01  1.79969340e+02 
 4.36515832e+03  4.14724836e+01  1.79968626e+02 
 4.46683592e+03  4.14724836e+01  1.79967895e+02 
 4.57088190e+03  4.14724835e+01  1.79967147e+02 
 4.67735141e+03  4.14724835e+01  1.79966382e+02 
 4.78630092e+03  4.14724834e+01  1.79965599e+02 
 4.89778819e+03  4.14724833e+01  1.79964797e+02 
 5.01187234e+03  4.14724833e+01  1.79963977e+02 
 5.12861384e+03  4.14724832e+01  1.79963138e+02 
 5.24807460e+03  4.14724831e+01  1.79962280e+02 
 5.37031796e+03  4.14724830e+01  1.79961401e+02 
 5.49540874e+03  4.14724830e+01  1.79960502e+02 
 5.62341325e+03  4.14724829e+01  1.79959582e+02 
 5.75439937e+03  4.14724828e+01  1.79958641e+02 
 5.88843655e+03  4.14724827e+01  1.79957677e+02 
 6.02559586e+03  4.14724826e+01  1.79956691e+02 
 6.16595002e+03  4.14724825e+01  1.79955683e+02 
 6.30957344e+03  4.14724824e+01  1.79954650e+02 
 6.45654229e+03  4.14724823e+01  1.79953594e+02 
 6.60693448e+03  4.14724821e+01  1.79952513e+02 
 6.76082975e+03  4.14724820e+01  1.79951407e+02 
 6.91830971e+03  4.14724819e+01  1.79950275e+02 
 7.07945784e+03  4.14724818e+01  1.79949117e+02 
 7.24435960e+03  4.14724816e+01  1.79947931e+02 
 7.41310241e+03  4.14724815e+01  1.79946719e+02 
 7.58577575e+03  4.14724813e+01  1.79945478e+02 
 7.76247117e+03  4.14724811e+01  1.79944208e+02 
 7.94328235e+03  4.14724810e+01  1.79942908e+02 
 8.12830516e+03  4.14724808e+01  1.79941578e+02 
 8.31763771e+03  4.14724806e+01  1.79940217e+02 
 8.51138038e+03  4.14724804e+01  1.79938825e+02 
 8.70963590e+03  4.14724802e+01  1.79937400e+02 
 8.91250938e+03  4.14724800e+01  1.79935942e+02 
 9.12010839e+03  4.14724798e+01  1.79934450e+02 
 9.33254301e+03  4.14724795e+01  1.79932923e+02 
 9.54992586e+03  4.14724793e+01  1.79931360e+02 
 9.77237221e+03  4.14724790e+01  1.79929762e+02 
 1.00000000e+04  4.14724787e+01  1.79928125e+02 
 1.02329299e+04  4.14724785e+01  1.79926451e+02 
 1.04712855e+04  4.14724782e+01  1.79924738e+02 
 1.07151931e+04  4.14724779e+01  1.79922985e+02 
 1.09647820e+04  4.14724775e+01  1.79921191e+02 
 1.12201845e+04  4.14724772e+01  1.79919355e+02 
 1.14815362e+04  4.14724768e+01  1.79917477e+02 
 1.17489755e+04  4.14724765e+01  1.79915555e+02 
 1.20226443e+04  4.14724761e+01  1.79913588e+02 
 1.23026877e+04  4.14724757e+01  1.79911575e+02 
 1.25892541e+04  4.14724752e+01  1.79909515e+02 
