 frequency       mag             ph             
 2.04173794e+04  2.61080951e+01  9.01481909e+01 
 2.08929613e+04  2.59080902e+01  9.01507085e+01 
 2.13796209e+04  2.57080851e+01  9.01533060e+01 
 2.18776162e+04  2.55080798e+01  9.01559848e+01 
 2.23872114e+04  2.53080741e+01  9.01587463e+01 
 2.29086765e+04  2.51080683e+01  9.01615919e+01 
 2.34422882e+04  2.49080621e+01  9.01645232e+01 
 2.39883292e+04  2.47080556e+01  9.01675418e+01 
 2.45470892e+04  2.45080489e+01  9.01706492e+01 
 2.51188643e+04  2.43080418e+01  9.01738471e+01 
 2.57039578e+04  2.41080344e+01  9.01771371e+01 
 2.63026799e+04  2.39080266e+01  9.01805211e+01 
 2.69153480e+04  2.37080185e+01  9.01840007e+01 
 2.75422870e+04  2.35080100e+01  9.01875779e+01 
 2.81838293e+04  2.33080010e+01  9.01912546e+01 
 2.88403150e+04  2.31079917e+01  9.01950327e+01 
 2.95120923e+04  2.29079819e+01  9.01989141e+01 
 3.01995172e+04  2.27079717e+01  9.02029011e+01 
 3.09029543e+04  2.25079609e+01  9.02069956e+01 
 3.16227766e+04  2.23079497e+01  9.02111998e+01 
 3.23593657e+04  2.21079379e+01  9.02155160e+01 
 3.31131121e+04  2.19079256e+01  9.02199465e+01 
 3.38844156e+04  2.17079127e+01  9.02244936e+01 
 3.46736850e+04  2.15078992e+01  9.02291597e+01 
 3.54813389e+04  2.13078850e+01  9.02339473e+01 
 3.63078055e+04  2.11078702e+01  9.02388589e+01 
 3.71535229e+04  2.09078546e+01  9.02438971e+01 
 3.80189396e+04  2.07078384e+01  9.02490647e+01 
 3.89045145e+04  2.05078214e+01  9.02543643e+01 
 3.98107171e+04  2.03078035e+01  9.02597987e+01 
 4.07380278e+04  2.01077849e+01  9.02653709e+01 
 4.16869383e+04  1.99077653e+01  9.02710837e+01 
 4.26579519e+04  1.97077449e+01  9.02769403e+01 
 4.36515832e+04  1.95077234e+01  9.02829437e+01 
 4.46683592e+04  1.93077010e+01  9.02890971e+01 
 4.57088190e+04  1.91076775e+01  9.02954037e+01 
 4.67735141e+04  1.89076529e+01  9.03018669e+01 
 4.78630092e+04  1.87076271e+01  9.03084902e+01 
 4.89778819e+04  1.85076001e+01  9.03152770e+01 
 5.01187234e+04  1.83075719e+01  9.03222309e+01 
 5.12861384e+04  1.81075423e+01  9.03293556e+01 
 5.24807460e+04  1.79075113e+01  9.03366549e+01 
 5.37031796e+04  1.77074788e+01  9.03441327e+01 
 5.49540874e+04  1.75074449e+01  9.03517929e+01 
 5.62341325e+04  1.73074093e+01  9.03596396e+01 
 5.75439937e+04  1.71073720e+01  9.03676769e+01 
 5.88843655e+04  1.69073330e+01  9.03759090e+01 
