 time                   v(VOUT)               
 1.846400000000011e-07  8.000064964280589e-01 
 1.851400000000011e-07  8.000064964280588e-01 
 1.856400000000011e-07  8.000064964280588e-01 
 1.861400000000011e-07  8.000064964280588e-01 
 1.866400000000011e-07  8.000064964280589e-01 
 1.871400000000012e-07  8.000064964280590e-01 
 1.876400000000012e-07  8.000064964280591e-01 
 1.881400000000012e-07  8.000064964280593e-01 
 1.886400000000012e-07  8.000064964280595e-01 
 1.891400000000012e-07  8.000064964280599e-01 
 1.896400000000012e-07  8.000064964280600e-01 
 1.901400000000012e-07  8.000064964280601e-01 
 1.906400000000012e-07  8.000064964280602e-01 
 1.911400000000012e-07  8.000064964280602e-01 
 1.916400000000013e-07  8.000064964280602e-01 
 1.921400000000013e-07  8.000064964280602e-01 
 1.926400000000013e-07  8.000064964280600e-01 
 1.931400000000013e-07  8.000064964280597e-01 
 1.936400000000013e-07  8.000064964280593e-01 
 1.941400000000013e-07  8.000064964280592e-01 
 1.946400000000013e-07  8.000064964280593e-01 
 1.951400000000013e-07  8.000064964280590e-01 
 1.956400000000013e-07  8.000064964280585e-01 
 1.961400000000014e-07  8.000064964280584e-01 
 1.966400000000014e-07  8.000064964280583e-01 
 1.971400000000014e-07  8.000064964280582e-01 
 1.976400000000014e-07  8.000064964280584e-01 
 1.981400000000014e-07  8.000064964280588e-01 
 1.986400000000014e-07  8.000064964280590e-01 
 1.991400000000014e-07  8.000064964280592e-01 
 1.996400000000014e-07  8.000064964280593e-01 
 2.001400000000014e-07  8.000064964280594e-01 
 2.006400000000015e-07  8.000064964280595e-01 
 2.011400000000015e-07  8.000064964280598e-01 
 2.016400000000015e-07  8.000064964280601e-01 
 2.021400000000015e-07  8.000064964280602e-01 
 2.026400000000015e-07  8.000064964280603e-01 
 2.031400000000015e-07  8.000064964280603e-01 
 2.036400000000015e-07  8.000064964280602e-01 
 2.041400000000015e-07  8.000064964280603e-01 
 2.046400000000015e-07  8.000064964280604e-01 
 2.051400000000016e-07  8.000064964280604e-01 
 2.056400000000016e-07  8.000064964280604e-01 
 2.061400000000016e-07  8.000064964280603e-01 
 2.066400000000016e-07  8.000064964280602e-01 
 2.071400000000016e-07  8.000064964280600e-01 
 2.076400000000016e-07  8.000064964280597e-01 
 2.081400000000016e-07  8.000064964280595e-01 
 2.086400000000016e-07  8.000064964280593e-01 
 2.091400000000016e-07  8.000064964280589e-01 
 2.096400000000017e-07  8.000064964280587e-01 
 2.101400000000017e-07  8.000064964280584e-01 
 2.106400000000017e-07  8.000064964280582e-01 
 2.111400000000017e-07  8.000064964280580e-01 
 2.116400000000017e-07  8.000064964280579e-01 
 2.121400000000017e-07  8.000064964280579e-01 
 2.126400000000017e-07  8.000064964280578e-01 
 2.131400000000017e-07  8.000064964280578e-01 
 2.136400000000017e-07  8.000064964280579e-01 
 2.141400000000018e-07  8.000064964280579e-01 
 2.146400000000018e-07  8.000064964280580e-01 
 2.151400000000018e-07  8.000064964280583e-01 
 2.156400000000018e-07  8.000064964280587e-01 
 2.161400000000018e-07  8.000064964280589e-01 
 2.166400000000018e-07  8.000064964280592e-01 
 2.171400000000018e-07  8.000064964280594e-01 
 2.176400000000018e-07  8.000064964280595e-01 
 2.181400000000018e-07  8.000064964280599e-01 
 2.186400000000019e-07  8.000064964280601e-01 
 2.191400000000019e-07  8.000064964280601e-01 
 2.196400000000019e-07  8.000064964280602e-01 
 2.201400000000019e-07  8.000064964280604e-01 
 2.206400000000019e-07  8.000064964280604e-01 
 2.211400000000019e-07  8.000064964280603e-01 
 2.216400000000019e-07  8.000064964280604e-01 
 2.221400000000019e-07  8.000064964280605e-01 
 2.226400000000019e-07  8.000064964280605e-01 
 2.231400000000020e-07  8.000064964280608e-01 
 2.236400000000020e-07  8.000064964280609e-01 
 2.241400000000020e-07  8.000064964280608e-01 
 2.246400000000020e-07  8.000064964280608e-01 
 2.251400000000020e-07  8.000064964280609e-01 
 2.256400000000020e-07  8.000064964280609e-01 
 2.261400000000020e-07  8.000064964280608e-01 
 2.266400000000020e-07  8.000064964280608e-01 
 2.271400000000020e-07  8.000064964280609e-01 
 2.276400000000021e-07  8.000064964280609e-01 
 2.281400000000021e-07  8.000064964280608e-01 
 2.286400000000021e-07  8.000064964280607e-01 
 2.291400000000021e-07  8.000064964280605e-01 
 2.296400000000021e-07  8.000064964280605e-01 
 2.301400000000021e-07  8.000064964280607e-01 
 2.306400000000021e-07  8.000064964280607e-01 
 2.311400000000021e-07  8.000064964280604e-01 
 2.316400000000021e-07  8.000064964280604e-01 
 2.321400000000022e-07  8.000064964280605e-01 
 2.326400000000022e-07  8.000064964280605e-01 
 2.331400000000022e-07  8.000064964280607e-01 
 2.336400000000022e-07  8.000064964280607e-01 
 2.341400000000022e-07  8.000064964280607e-01 
 2.346400000000022e-07  8.000064964280607e-01 
 2.351400000000022e-07  8.000064964280605e-01 
 2.356400000000022e-07  8.000064964280605e-01 
 2.361400000000022e-07  8.000064964280607e-01 
 2.366400000000023e-07  8.000064964280607e-01 
 2.371400000000023e-07  8.000064964280607e-01 
 2.376400000000023e-07  8.000064964280608e-01 
 2.381400000000023e-07  8.000064964280608e-01 
 2.386400000000023e-07  8.000064964280607e-01 
 2.391400000000023e-07  8.000064964280605e-01 
 2.396400000000023e-07  8.000064964280604e-01 
 2.401400000000023e-07  8.000064964280603e-01 
 2.406400000000022e-07  8.000064964280604e-01 
 2.411400000000022e-07  8.000064964280605e-01 
 2.416400000000022e-07  8.000064964280605e-01 
 2.421400000000022e-07  8.000064964280605e-01 
 2.426400000000022e-07  8.000064964280604e-01 
 2.431400000000022e-07  8.000064964280604e-01 
 2.436400000000021e-07  8.000064964280605e-01 
 2.441400000000021e-07  8.000064964280607e-01 
 2.446400000000021e-07  8.000064964280608e-01 
 2.451400000000021e-07  8.000064964280609e-01 
 2.456400000000021e-07  8.000064964280609e-01 
 2.461400000000021e-07  8.000064964280609e-01 
 2.466400000000021e-07  8.000064964280609e-01 
 2.471400000000020e-07  8.000064964280608e-01 
 2.476400000000020e-07  8.000064964280608e-01 
 2.481400000000020e-07  8.000064964280609e-01 
 2.486400000000020e-07  8.000064964280610e-01 
 2.491400000000020e-07  8.000064964280610e-01 
 2.496400000000020e-07  8.000064964280609e-01 
 2.501400000000019e-07  8.000064964280609e-01 
 2.506400000000019e-07  8.000064964280609e-01 
 2.511400000000019e-07  8.000064964280608e-01 
 2.516400000000019e-07  8.000064964280609e-01 
 2.521400000000019e-07  8.000064964280611e-01 
 2.526400000000019e-07  8.000064964280611e-01 
 2.531400000000019e-07  8.000064964280610e-01 
 2.536400000000018e-07  8.000064964280610e-01 
 2.541400000000018e-07  8.000064964280610e-01 
 2.546400000000018e-07  8.000064964280609e-01 
 2.551400000000018e-07  8.000064964280609e-01 
 2.556400000000018e-07  8.000064964280610e-01 
 2.561400000000018e-07  8.000064964280610e-01 
 2.566400000000017e-07  8.000064964280609e-01 
 2.571400000000017e-07  8.000064964280609e-01 
 2.576400000000017e-07  8.000064964280609e-01 
 2.581400000000017e-07  8.000064964280608e-01 
 2.586400000000017e-07  8.000064964280608e-01 
 2.591400000000017e-07  8.000064964280608e-01 
 2.596400000000017e-07  8.000064964280608e-01 
 2.601400000000016e-07  8.000064964280609e-01 
 2.606400000000016e-07  8.000064964280610e-01 
 2.611400000000016e-07  8.000064964280611e-01 
 2.616400000000016e-07  8.000064964280611e-01 
 2.621400000000016e-07  8.000064964280611e-01 
 2.626400000000016e-07  8.000064964280611e-01 
 2.631400000000015e-07  8.000064964280611e-01 
 2.636400000000015e-07  8.000064964280611e-01 
 2.641400000000015e-07  8.000064964280610e-01 
 2.646400000000015e-07  8.000064964280609e-01 
 2.651400000000015e-07  8.000064964280609e-01 
 2.656400000000015e-07  8.000064964280609e-01 
 2.661400000000015e-07  8.000064964280610e-01 
 2.666400000000014e-07  8.000064964280611e-01 
 2.671400000000014e-07  8.000064964280610e-01 
 2.676400000000014e-07  8.000064964280609e-01 
 2.681400000000014e-07  8.000064964280609e-01 
 2.686400000000014e-07  8.000064964280609e-01 
 2.691400000000014e-07  8.000064964280609e-01 
 2.696400000000013e-07  8.000064964280609e-01 
 2.701400000000013e-07  8.000064964280609e-01 
 2.706400000000013e-07  8.000064964280609e-01 
 2.711400000000013e-07  8.000064964280609e-01 
 2.716400000000013e-07  8.000064964280609e-01 
 2.721400000000013e-07  8.000064964280609e-01 
 2.726400000000013e-07  8.000064964280608e-01 
 2.731400000000012e-07  8.000064964280608e-01 
 2.736400000000012e-07  8.000064964280607e-01 
 2.741400000000012e-07  8.000064964280603e-01 
 2.746400000000012e-07  8.000064964280602e-01 
 2.751400000000012e-07  8.000064964280604e-01 
 2.756400000000012e-07  8.000064964280604e-01 
 2.761400000000011e-07  8.000064964280602e-01 
 2.766400000000011e-07  8.000064964280602e-01 
 2.771400000000011e-07  8.000064964280603e-01 
 2.776400000000011e-07  8.000064964280604e-01 
 2.781400000000011e-07  8.000064964280604e-01 
 2.786400000000011e-07  8.000064964280603e-01 
 2.791400000000011e-07  8.000064964280603e-01 
 2.796400000000010e-07  8.000064964280603e-01 
 2.801400000000010e-07  8.000064964280603e-01 
 2.806400000000010e-07  8.000064964280602e-01 
 2.811400000000010e-07  8.000064964280603e-01 
 2.816400000000010e-07  8.000064964280603e-01 
 2.821400000000010e-07  8.000064964280601e-01 
 2.826400000000009e-07  8.000064964280601e-01 
 2.831400000000009e-07  8.000064964280602e-01 
 2.836400000000009e-07  8.000064964280604e-01 
 2.841400000000009e-07  8.000064964280605e-01 
 2.846400000000009e-07  8.000064964280604e-01 
 2.851400000000009e-07  8.000064964280603e-01 
 2.856400000000009e-07  8.000064964280603e-01 
