 frequency       onoise_spectrum inoise_spectrum	manifest_sha256
 1.65958691e+02  2.07514582e-03  8.57826750e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.69824365e+02  2.05497230e-03  8.49496169e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.73780083e+02  2.03499467e-03  8.41246801e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.77827941e+02  2.01521097e-03  8.33077852e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.81970086e+02  1.99561929e-03  8.24988534e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.86208714e+02  1.97621770e-03  8.16978068e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.90546072e+02  1.95700432e-03  8.09045684e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.94984460e+02  1.93797728e-03  8.01190616e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.99526231e+02  1.91913470e-03  7.93412109e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.04173794e+02  1.90047477e-03  7.85709414e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.08929613e+02  1.88199564e-03  7.78081788e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.13796209e+02  1.86369551e-03  7.70528499e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.18776162e+02  1.84557260e-03  7.63048819e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.23872114e+02  1.82762513e-03  7.55642027e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.29086765e+02  1.80985134e-03  7.48307412e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.34422882e+02  1.79224948e-03  7.41044267e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
