tag,vcm_v,device,role,drain_current_ua,vdsat_abs_v,saturation_margin_v,saturation_status,manifest_sha256
m7_l2,0.8,M8,PMOS diode IREF reference,9.99999882,0.169702732,0.997543332,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
m7_l2,0.8,M9,PMOS VBN-bias current source,9.99144222,0.169694826,0.9723179730000002,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
m7_l2,0.8,M10,NMOS diode VBN reference,9.9914427,0.0923723431,0.5656148579,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
m7_l2,0.9,M1,"NMOS input, VINN side",18.926768,0.0744548575,0.5042464175,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
m7_l2,0.9,M2,"NMOS input, VINP side",19.1007017,0.0750280508,0.4133519092,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
m7_l2,0.9,M3,"PMOS diode mirror load, two units",18.9267667,0.0870857939,0.9204810371000001,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
m7_l2,0.9,M4,"PMOS mirror output load, two units",19.100699799999997,0.0872257401,1.0106624059,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
m7_l2,0.9,M5,NMOS tail current source,38.027469,0.0985645228,0.11516737120000001,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
m7_l2,0.9,M6,NMOS second-stage gain device,26.813286,0.102276767,0.796307261,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
m7_l2,0.9,M7,PMOS second-stage current source,35.7991235,0.144717075,0.756698897,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
m7_l2,0.9,M8,PMOS diode IREF reference,9.99999882,0.169702732,0.997543332,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
m7_l2,0.9,M9,PMOS VBN-bias current source,9.99144222,0.169694826,0.9723179730000002,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
m7_l2,0.9,M10,NMOS diode VBN reference,9.9914427,0.0923723431,0.5656148579,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
m7_l2,1.3,M1,"NMOS input, VINN side",20.0557546,0.0788537831,0.1663177159,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
m7_l2,1.3,M2,"NMOS input, VINP side",20.2598005,0.0804337457,0.06397666130000007,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
m7_l2,1.3,M3,"PMOS diode mirror load, two units",20.0557532,0.0887877744,0.9224231156000001,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
m7_l2,1.3,M4,"PMOS mirror output load, two units",20.2597986,0.0889477784,1.0230242036000001,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
m7_l2,1.3,M5,NMOS tail current source,40.3155535,0.0985647484,0.44505286259999993,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
m7_l2,1.3,M6,NMOS second-stage gain device,22.499209,0.0946058464,1.2019945936,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
m7_l2,1.3,M7,PMOS second-stage current source,35.4653322,0.144717022,0.35868253800000005,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
m7_l2,1.3,M8,PMOS diode IREF reference,9.99999882,0.169702732,0.997543332,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
m7_l2,1.3,M9,PMOS VBN-bias current source,9.99144222,0.169694826,0.9723179730000002,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
m7_l2,1.3,M10,NMOS diode VBN reference,9.9914427,0.0923723431,0.5656148579,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
