 frequency       lr              li             
 3.71535229e+02 -1.37850912e+04 -1.46363459e+04 
 3.80189396e+02 -1.34492254e+04 -1.46120657e+04 
 3.89045145e+02 -1.31146491e+04 -1.45801483e+04 
 3.98107171e+02 -1.27817074e+04 -1.45406771e+04 
 4.07380278e+02 -1.24507386e+04 -1.44937549e+04 
 4.16869383e+02 -1.21220726e+04 -1.44395034e+04 
 4.26579519e+02 -1.17960301e+04 -1.43780613e+04 
 4.36515832e+02 -1.14729211e+04 -1.43095849e+04 
 4.46683592e+02 -1.11530440e+04 -1.42342464e+04 
 4.57088190e+02 -1.08366843e+04 -1.41522324e+04 
 4.67735141e+02 -1.05241141e+04 -1.40637441e+04 
 4.78630092e+02 -1.02155910e+04 -1.39689949e+04 
 4.89778819e+02 -9.91135726e+03 -1.38682100e+04 
 5.01187234e+02 -9.61163992e+03 -1.37616246e+04 
 5.12861384e+02 -9.31664964e+03 -1.36494831e+04 
 5.24807460e+02 -9.02658076e+03 -1.35320375e+04 
 5.37031796e+02 -8.74161077e+03 -1.34095466e+04 
 5.49540874e+02 -8.46190055e+03 -1.32822739e+04 
 5.62341325e+02 -8.18759400e+03 -1.31504876e+04 
 5.75439937e+02 -7.91881841e+03 -1.30144580e+04 
 5.88843655e+02 -7.65568441e+03 -1.28744574e+04 
 6.02559586e+02 -7.39828640e+03 -1.27307587e+04 
 6.16595002e+02 -7.14670280e+03 -1.25836339e+04 
 6.30957344e+02 -6.90099648e+03 -1.24333537e+04 
 6.45654229e+02 -6.66121517e+03 -1.22801864e+04 
 6.60693448e+02 -6.42739219e+03 -1.21243966e+04 
 6.76082975e+02 -6.19954689e+03 -1.19662447e+04 
 6.91830971e+02 -5.97768516e+03 -1.18059866e+04 
 7.07945784e+02 -5.76180047e+03 -1.16438720e+04 
 7.24435960e+02 -5.55187404e+03 -1.14801449e+04 
 7.41310241e+02 -5.34787610e+03 -1.13150420e+04 
 7.58577575e+02 -5.14976612e+03 -1.11487932e+04 
 7.76247117e+02 -4.95749385e+03 -1.09816206e+04 
 7.94328235e+02 -4.77099987e+03 -1.08137385e+04 
 8.12830516e+02 -4.59021655e+03 -1.06453527e+04 
 8.31763771e+02 -4.41506841e+03 -1.04766608e+04 
 8.51138038e+02 -4.24547319e+03 -1.03078516e+04 
 8.70963590e+02 -4.08134224e+03 -1.01391056e+04 
 8.91250938e+02 -3.92258140e+03 -9.97059401e+03 
 9.12010839e+02 -3.76909150e+03 -9.80247970e+03 
 9.33254301e+02 -3.62076907e+03 -9.63491664e+03 
 9.54992586e+02 -3.47750694e+03 -9.46805012e+03 
 9.77237221e+02 -3.33919472e+03 -9.30201692e+03 
 1.00000000e+03 -3.20571931e+03 -9.13694547e+03 
 1.02329299e+03 -3.07696560e+03 -8.97295580e+03 
 1.04712855e+03 -2.95281677e+03 -8.81015994e+03 
 1.07151931e+03 -2.83315483e+03 -8.64866200e+03 
 1.09647820e+03 -2.71786091e+03 -8.48855849e+03 
 1.12201845e+03 -2.60681584e+03 -8.32993843e+03 
 1.14815362e+03 -2.49990028e+03 -8.17288374e+03 
 1.17489755e+03 -2.39699530e+03 -8.01746935e+03 
 1.20226443e+03 -2.29798243e+03 -7.86376357e+03 
 1.23026877e+03 -2.20274407e+03 -7.71182836e+03 
 1.25892541e+03 -2.11116377e+03 -7.56171948e+03 
 1.28824955e+03 -2.02312633e+03 -7.41348693e+03 
 1.31825674e+03 -1.93851810e+03 -7.26717508e+03 
 1.34896288e+03 -1.85722711e+03 -7.12282303e+03 
 1.38038426e+03 -1.77914325e+03 -6.98046483e+03 
 1.41253754e+03 -1.70415838e+03 -6.84012975e+03 
 1.44543977e+03 -1.63216648e+03 -6.70184257e+03 
 1.47910839e+03 -1.56306370e+03 -6.56562379e+03 
 1.51356125e+03 -1.49674850e+03 -6.43148990e+03 
 1.54881662e+03 -1.43312170e+03 -6.29945361e+03 
 1.58489319e+03 -1.37208648e+03 -6.16952411e+03 
 1.62181010e+03 -1.31354854e+03 -6.04170723e+03 
 1.65958691e+03 -1.25741601e+03 -5.91600573e+03 
 1.69824365e+03 -1.20359955e+03 -5.79241946e+03 
 1.73780083e+03 -1.15201232e+03 -5.67094558e+03 
 1.77827941e+03 -1.10256998e+03 -5.55157875e+03 
 1.81970086e+03 -1.05519070e+03 -5.43431131e+03 
 1.86208714e+03 -1.00979518e+03 -5.31913344e+03 
 1.90546072e+03 -9.66306539e+02 -5.20603336e+03 
 1.94984460e+03 -9.24650380e+02 -5.09499746e+03 
 1.99526231e+03 -8.84754706e+02 -4.98601046e+03 
 2.04173794e+03 -8.46549915e+02 -4.87905556e+03 
 2.08929613e+03 -8.09968715e+02 -4.77411456e+03 
 2.13796209e+03 -7.74946143e+02 -4.67116801e+03 
 2.18776162e+03 -7.41419480e+02 -4.57019531e+03 
 2.23872114e+03 -7.09328206e+02 -4.47117483e+03 
 2.29086765e+03 -6.78613971e+02 -4.37408402e+03 
 2.34422882e+03 -6.49220514e+02 -4.27889950e+03 
 2.39883292e+03 -6.21093642e+02 -4.18559719e+03 
 2.45470892e+03 -5.94181155e+02 -4.09415235e+03 
 2.51188643e+03 -5.68432796e+02 -4.00453969e+03 
 2.57039578e+03 -5.43800198e+02 -3.91673344e+03 
 2.63026799e+03 -5.20236840e+02 -3.83070744e+03 
 2.69153480e+03 -4.97697988e+02 -3.74643519e+03 
 2.75422870e+03 -4.76140604e+02 -3.66388989e+03 
 2.81838293e+03 -4.55523355e+02 -3.58304457e+03 
 2.88403150e+03 -4.35806519e+02 -3.50387206e+03 
 2.95120923e+03 -4.16951935e+02 -3.42634511e+03 
 3.01995172e+03 -3.98922971e+02 -3.35043638e+03 
 3.09029543e+03 -3.81684455e+02 -3.27611852e+03 
 3.16227766e+03 -3.65202606e+02 -3.20336421e+03 
 3.23593657e+03 -3.49445032e+02 -3.13214618e+03 
 3.31131121e+03 -3.34380659e+02 -3.06243725e+03 
 3.38844156e+03 -3.19979667e+02 -2.99421035e+03 
 3.46736850e+03 -3.06213466e+02 -2.92743856e+03 
 3.54813389e+03 -2.93054649e+02 -2.86209516e+03 
 3.63078055e+03 -2.80476927e+02 -2.79815359e+03 
 3.71535229e+03 -2.68455127e+02 -2.73558754e+03 
 3.80189396e+03 -2.56965098e+02 -2.67437092e+03 
 3.89045145e+03 -2.45983723e+02 -2.61447791e+03 
 3.98107171e+03 -2.35488840e+02 -2.55588295e+03 
 4.07380278e+03 -2.25459234e+02 -2.49856077e+03 
 4.16869383e+03 -2.15874583e+02 -2.44248639e+03 
 4.26579519e+03 -2.06715407e+02 -2.38763515e+03 
 4.36515832e+03 -1.97963075e+02 -2.33398271e+03 
 4.46683592e+03 -1.89599753e+02 -2.28150503e+03 
 4.57088190e+03 -1.81608352e+02 -2.23017844e+03 
 4.67735141e+03 -1.73972525e+02 -2.17997958e+03 
 4.78630092e+03 -1.66676630e+02 -2.13088546e+03 
 4.89778819e+03 -1.59705693e+02 -2.08287341e+03 
 5.01187234e+03 -1.53045381e+02 -2.03592114e+03 
 5.12861384e+03 -1.46681988e+02 -1.99000671e+03 
 5.24807460e+03 -1.40602397e+02 -1.94510851e+03 
 5.37031796e+03 -1.34794065e+02 -1.90120532e+03 
 5.49540874e+03 -1.29244986e+02 -1.85827626e+03 
 5.62341325e+03 -1.23943679e+02 -1.81630082e+03 
 5.75439937e+03 -1.18879169e+02 -1.77525883e+03 
 5.88843655e+03 -1.14040952e+02 -1.73513050e+03 
 6.02559586e+03 -1.09418987e+02 -1.69589639e+03 
 6.16595002e+03 -1.05003673e+02 -1.65753738e+03 
 6.30957344e+03 -1.00785826e+02 -1.62003476e+03 
 6.45654229e+03 -9.67566675e+01 -1.58337011e+03 
 6.60693448e+03 -9.29078050e+01 -1.54752540e+03 
 6.76082975e+03 -8.92312150e+01 -1.51248291e+03 
 6.91830971e+03 -8.57192241e+01 -1.47822529e+03 
 7.07945784e+03 -8.23645039e+01 -1.44473550e+03 
 7.24435960e+03 -7.91600394e+01 -1.41199685e+03 
 7.41310241e+03 -7.60991311e+01 -1.37999296e+03 
 7.58577575e+03 -7.31753771e+01 -1.34870779e+03 
 7.76247117e+03 -7.03826547e+01 -1.31812562e+03 
 7.94328235e+03 -6.77151158e+01 -1.28823103e+03 
 8.12830516e+03 -6.51671669e+01 -1.25900892e+03 
 8.31763771e+03 -6.27334684e+01 -1.23044451e+03 
 8.51138038e+03 -6.04089088e+01 -1.20252330e+03 
 8.70963590e+03 -5.81886117e+01 -1.17523110e+03 
 8.91250938e+03 -5.60679132e+01 -1.14855402e+03 
 9.12010839e+03 -5.40423584e+01 -1.12247843e+03 
 9.33254301e+03 -5.21076871e+01 -1.09699101e+03 
 9.54992586e+03 -5.02598324e+01 -1.07207872e+03 
 9.77237221e+03 -4.84949068e+01 -1.04772878e+03 
 1.00000000e+04 -4.68091969e+01 -1.02392867e+03 
 1.02329299e+04 -4.51991524e+01 -1.00066617e+03 
 1.04712855e+04 -4.36613838e+01 -9.77929291e+02 
 1.07151931e+04 -4.21926510e+01 -9.55706303e+02 
 1.09647820e+04 -4.07898588e+01 -9.33985735e+02 
 1.12201845e+04 -3.94500503e+01 -9.12756357e+02 
 1.14815362e+04 -3.81704013e+01 -8.92007180e+02 
 1.17489755e+04 -3.69482121e+01 -8.71727453e+02 
 1.20226443e+04 -3.57809047e+01 -8.51906657e+02 
 1.23026877e+04 -3.46660158e+01 -8.32534501e+02 
 1.25892541e+04 -3.36011924e+01 -8.13600918e+02 
 1.28824955e+04 -3.25841862e+01 -7.95096057e+02 
 1.31825674e+04 -3.16128505e+01 -7.77010286e+02 
 1.34896288e+04 -3.06851328e+01 -7.59334181e+02 
 1.38038426e+04 -2.97990744e+01 -7.42058523e+02 
 1.41253754e+04 -2.89528031e+01 -7.25174298e+02 
 1.44543977e+04 -2.81445298e+01 -7.08672688e+02 
 1.47910839e+04 -2.73725473e+01 -6.92545069e+02 
 1.51356125e+04 -2.66352228e+01 -6.76783007e+02 
 1.54881662e+04 -2.59309981e+01 -6.61378255e+02 
 1.58489319e+04 -2.52583843e+01 -6.46322747e+02 
 1.62181010e+04 -2.46159581e+01 -6.31608597e+02 
 1.65958691e+04 -2.40023614e+01 -6.17228091e+02 
 1.69824365e+04 -2.34162963e+01 -6.03173688e+02 
 1.73780083e+04 -2.28565221e+01 -5.89438015e+02 
 1.77827941e+04 -2.23218557e+01 -5.76013860e+02 
 1.81970086e+04 -2.18111644e+01 -5.62894174e+02 
 1.86208714e+04 -2.13233685e+01 -5.50072064e+02 
 1.90546072e+04 -2.08574350e+01 -5.37540790e+02 
 1.94984460e+04 -2.04123779e+01 -5.25293764e+02 
 1.99526231e+04 -1.99872546e+01 -5.13324543e+02 
 2.04173794e+04 -1.95811659e+01 -5.01626829e+02 
 2.08929613e+04 -1.91932515e+01 -4.90194466e+02 
 2.13796209e+04 -1.88226899e+01 -4.79021433e+02 
 2.18776162e+04 -1.84686970e+01 -4.68101846e+02 
 2.23872114e+04 -1.81305226e+01 -4.57429952e+02 
 2.29086765e+04 -1.78074507e+01 -4.47000126e+02 
 2.34422882e+04 -1.74987970e+01 -4.36806871e+02 
 2.39883292e+04 -1.72039081e+01 -4.26844812e+02 
 2.45470892e+04 -1.69221592e+01 -4.17108695e+02 
 2.51188643e+04 -1.66529532e+01 -4.07593385e+02 
 2.57039578e+04 -1.63957202e+01 -3.98293860e+02 
 2.63026799e+04 -1.61499154e+01 -3.89205214e+02 
 2.69153480e+04 -1.59150176e+01 -3.80322648e+02 
 2.75422870e+04 -1.56905297e+01 -3.71641474e+02 
 2.81838293e+04 -1.54759757e+01 -3.63157107e+02 
 2.88403150e+04 -1.52709015e+01 -3.54865068e+02 
 2.95120923e+04 -1.50748721e+01 -3.46760976e+02 
 3.01995172e+04 -1.48874729e+01 -3.38840550e+02 
