frequency_hz,ad_magnitude_V_per_V,acm_magnitude_V_per_V,aps_plus_magnitude_V_per_V,aps_minus_magnitude_V_per_V,cmrr_dB,psrr_plus_dB,psrr_minus_dB,common_mode_stimulus_magnitude_V,psrr_plus_stimulus_magnitude_V,psrr_minus_stimulus_magnitude_V,manifest_sha256
6.81292069,2419.900373,0.6571810249,36.91718895,37.26000755,71.32224942,36.33137724,36.25109096,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
6.94491071,2419.900338,0.6571810153,36.91718848,37.26000706,71.32224942,36.33137723,36.25109095,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
7.07945784,2419.900304,0.6571810052,36.91718794,37.26000649,71.32224944,36.33137723,36.25109096,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
7.21661162,2419.900262,0.6571809954,36.91718731,37.26000594,71.32224942,36.33137723,36.25109094,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
7.35642254,2419.900231,0.657180984,36.91718671,37.26000531,71.32224946,36.33137726,36.25109097,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
7.49894209,2419.900182,0.657180973,36.91718613,37.26000471,71.32224942,36.33137722,36.25109094,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
7.64422274,2419.900145,0.6571809615,36.91718548,37.26000402,71.32224944,36.33137724,36.25109096,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
7.79231798,2419.900099,0.6571809494,36.91718475,37.26000337,71.32224944,36.33137725,36.25109095,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
7.94328235,2419.900055,0.6571809378,36.91718405,37.26000263,71.32224943,36.33137725,36.25109096,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
8.09717142,2419.900002,0.6571809246,36.91718338,37.26000193,71.32224942,36.33137722,36.25109094,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
8.25404185,2419.899962,0.657180911,36.91718263,37.26000115,71.32224945,36.33137725,36.25109097,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
8.41395142,2419.899903,0.6571808969,36.91718182,37.2600004,71.32224943,36.33137723,36.25109094,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
8.57695899,2419.899857,0.6571808823,36.91718103,37.25999958,71.32224945,36.33137725,36.25109096,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
8.74312458,2419.899792,0.6571808673,36.91718018,37.25999869,71.32224942,36.33137722,36.25109094,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
8.91250938,2419.89974,0.6571808519,36.91717926,37.25999783,71.32224944,36.33137725,36.25109095,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
9.08517576,2419.89968,0.6571808351,36.91717837,37.2599969,71.32224944,36.33137724,36.25109095,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
9.26118728,2419.899622,0.6571808189,36.91717742,37.25999591,71.32224945,36.33137726,36.25109098,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
9.44060876,2419.899557,0.6571808014,36.9171764,37.25999495,71.32224945,36.33137726,36.25109097,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
9.62350626,2419.899484,0.6571807826,36.91717543,37.25999393,71.32224943,36.33137723,36.25109094,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
9.80994713,2419.899414,0.6571807634,36.9171743,37.25999285,71.32224944,36.33137725,36.25109094,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
10,2419.899346,0.6571807441,36.9171732,37.25999171,71.32224945,36.33137726,36.25109097,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
10.1937349,2419.899272,0.6571807234,36.91717205,37.25999051,71.32224945,36.33137727,36.25109098,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
10.391223,2419.89919,0.6571807026,36.91717085,37.25998935,71.32224944,36.33137726,36.25109096,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
10.5925373,2419.899112,0.6571806806,36.91716969,37.25998814,71.32224945,36.33137725,36.25109096,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
10.7977516,2419.899026,0.6571806575,36.91716838,37.25998677,71.32224944,36.33137725,36.25109097,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
11.0069417,2419.898934,0.6571806333,36.91716702,37.25998545,71.32224943,36.33137724,36.25109095,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
11.2201845,2419.898846,0.657180609,36.91716562,37.25998398,71.32224944,36.33137725,36.25109097,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
11.4375586,2419.898751,0.6571805826,36.91716416,37.25998257,71.32224944,36.33137725,36.25109096,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
11.659144,2419.898649,0.6571805563,36.91716267,37.25998101,71.32224943,36.33137724,36.25109096,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
11.8850223,2419.898552,0.657180528,36.91716113,37.2599795,71.32224945,36.33137725,36.25109096,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
12.1152766,2419.898438,0.6571804998,36.91715946,37.25997785,71.32224942,36.33137724,36.25109094,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
12.3499917,2419.898329,0.6571804697,36.91715775,37.25997617,71.32224942,36.33137725,36.25109094,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
