scale,command_V,drive_V,vout_V,vinn_V,vx_V,m6_id_A,m6_vdsat_V,m7_id_A,m7_vdsat_V,direction,mapping_error_V,tracking_error_mV,m6_saturation_margin_V,m7_saturation_margin_V,not_clipped,valid,point_status,reverse_vout_V,forward_reverse_delta_uV,reverse_valid,counterpart_point_status,manifest_sha256
1.4,0.4,1.4,0.400468157,0.900234079,0.807408669,8.99199488e-05,0.167659899,9.38746428e-05,0.164596119,COMMAND_ASCENDING,-1.110223025e-16,0.468157,0.232808258,1.234935724,True,True,VALID,0.400468157,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.39,0.41,1.39,0.410455974,0.900227987,0.807009675,8.97912441e-05,0.167418093,9.38468171e-05,0.164593022,COMMAND_ASCENDING,-1.665334537e-16,0.455974,0.243037881,1.224951004,True,True,VALID,0.410455974,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.38,0.42,1.38,0.420444063,0.900222031,0.806619656,8.96624016e-05,0.167181872,9.38188563e-05,0.164589926,COMMAND_ASCENDING,-1.665334537e-16,0.444063,0.253262191,1.214966011,True,True,VALID,0.420444063,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.37,0.43,1.37,0.4304324,0.9002162,0.806237846,8.95334198e-05,0.16695076,9.37907585e-05,0.164586829,COMMAND_ASCENDING,5.551115123e-17,0.4324,0.26348164,1.204980771,True,True,VALID,0.4304324,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.36,0.44,1.36,0.440420966,0.900210483,0.805863568,8.94042969e-05,0.166724333,9.37625217e-05,0.164583732,COMMAND_ASCENDING,5.551115123e-17,0.420966,0.273696633,1.194995302,True,True,VALID,0.440420966,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.35,0.45,1.35,0.450409742,0.900204871,0.805496222,8.9275031e-05,0.166502218,9.37341439e-05,0.164580636,COMMAND_ASCENDING,5.551115123e-17,0.409742,0.283907524,1.185009622,True,True,VALID,0.450409742,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.34,0.46,1.34,0.460398712,0.900199356,0.805135272,8.91456204e-05,0.166284081,9.37056231e-05,0.164577539,COMMAND_ASCENDING,5.551115123e-17,0.398712,0.294114631,1.175023749,True,True,VALID,0.460398712,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.33,0.47,1.33,0.470387861,0.90019393,0.804780239,8.90160629e-05,0.166069622,9.36769572e-05,0.164574442,COMMAND_ASCENDING,0,0.387861,0.304318239,1.165037697,True,True,VALID,0.470387861,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.32,0.48,1.32,0.480377176,0.900188588,0.804430694,8.88863567e-05,0.165858575,9.36481441e-05,0.164571345,COMMAND_ASCENDING,0,0.377176,0.314518601,1.155051479,True,True,VALID,0.480377176,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.31,0.49,1.31,0.490366645,0.900183323,0.804086247,8.87564996e-05,0.165650696,9.36191816e-05,0.164568249,COMMAND_ASCENDING,0,0.366645,0.324715949,1.145065106,True,True,VALID,0.490366645,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
