frequency_hz,dm_tian_real,dm_tian_imag,dm_old_real,dm_old_imag,input_cm_tian_real,input_cm_tian_imag,input_cm_old_real,input_cm_old_imag,stage1_cm_tian_real,stage1_cm_tian_imag,stage1_cm_old_real,stage1_cm_old_imag,output_cm_tian_real,output_cm_tian_imag,output_cm_old_real,output_cm_old_imag
1.211527658628589021e+00,3.703353574304123867e+02,-5.846130709414879001e-02,3.703353574405658151e+02,-5.842289777511303073e-02,-3.424359930627869988e-03,9.393164212190067580e-10,-3.424359930628173999e-03,1.007763196689046756e-08,-9.368814536690327941e+02,-2.087425970271487019e-01,-9.368814568274412977e+02,-2.016436630389999707e-01,7.474294893047817823e+01,-2.886573009664208586e-03,7.474294893061239975e+01,-2.883907989089056108e-03
1.234999172687585967e+00,3.703353570706264577e+02,-5.959390634741214277e-02,3.703353570811075315e+02,-5.955475290604122368e-02,-3.424359930627869988e-03,9.575142546976228521e-10,-3.424359930628187876e-03,1.027287082809814808e-08,-9.368814518512424456e+02,-2.127866683830370587e-01,-9.368814551331859093e+02,-2.055502033386290561e-01,7.474294892613494312e+01,-2.942495991108064375e-03,7.474294892627075626e+01,-2.939779339794238323e-03
1.258925411794167948e+00,3.703353566967534789e+02,-6.074844799296032910e-02,3.703353567075957926e+02,-6.070853601302130670e-02,-3.424359930627869988e-03,9.760646436469181684e-10,-3.424359930627792793e-03,1.047189214663779265e-08,-9.368814499610244866e+02,-2.169090874734213026e-01,-9.368814533722388660e+02,-2.095324269196555955e-01,7.474294892161439918e+01,-2.999502395635934848e-03,7.474294892175846883e+01,-2.996733113316552878e-03
1.283315185557651894e+00,3.703353563080739832e+02,-6.192535713116317092e-02,3.703353563194423259e+02,-6.188467191717489380e-02,-3.424359930627869988e-03,9.949744182960079079e-10,-3.424359930627773278e-03,1.067476920189403897e-08,-9.368814479987028108e+02,-2.211113721670347754e-01,-9.368814515431661221e+02,-2.135918000302928221e-01,7.474294891692272813e+01,-3.057613212930027167e-03,7.474294891707027944e+01,-3.054790279958675536e-03
1.308177474260195039e+00,3.703353559022547188e+02,-6.312506709751795897e-02,3.703353559140007292e+02,-6.308359366919205624e-02,-3.424359930627869988e-03,1.014250541198356627e-09,-3.424359930627837029e-03,1.088157669292757780e-08,-9.368814459588522823e+02,-2.253950697363030775e-01,-9.368814496417089686e+02,-2.177298173237798562e-01,7.474294891204161218e+01,-3.116849839314054984e-03,7.474294891219808790e+01,-3.113972216291031967e-03
1.333521432163325082e+00,3.703353554827574499e+02,-6.434801962468403302e-02,3.703353554949247268e+02,-6.430574271157571409e-02,-3.424359930627649245e-03,1.033900109796742896e-09,-3.424359930627850906e-03,1.109239076598078266e-08,-9.368814438390456871e+02,-2.297617574310678590e-01,-9.368814476664208541e+02,-2.219480024112477634e-01,7.474294890661616364e+01,-3.177234085604308065e-03,7.474294890677550995e+01,-3.174300712992181479e-03
1.359356390878527110e+00,3.703353550466828210e+02,-6.559466500107639930e-02,3.703353550594232502e+02,-6.555156903693831749e-02,-3.424359930627649679e-03,1.053930359036032097e-09,-3.424359930627738149e-03,1.130728904251392473e-08,-9.368814416367387139e+02,-2.342130430579215661e-01,-9.368814456134085731e+02,-2.262479084203120605e-01,7.474294890134599711e+01,-3.238788185258301144e-03,7.474294890151496418e+01,-3.235797982993739684e-03
1.385691862803128949e+00,3.703353545937557101e+02,-6.686546223965124380e-02,3.703353546069384379e+02,-6.682153135656343501e-02,-3.424359930627649679e-03,1.074348664027324796e-09,-3.424359930627849172e-03,1.152635064778578661e-08,-9.368814393486810559e+02,-2.387505655718944741e-01,-9.368814434804180564e+02,-2.306311185688301457e-01,7.474294889551261178e+01,-3.301534802351442730e-03,7.474294889568649580e+01,-3.298486669445592056e-03
1.412537544622755048e+00,3.703353541230328574e+02,-6.816087924580274682e-02,3.703353541367042112e+02,-6.811609726849149338e-02,-3.424359930626767572e-03,1.095162542762854294e-09,-3.424359930627373858e-03,1.174965623998677001e-08,-9.368814369701333362e+02,-2.433759956794656343e-01,-9.368814412639083002e+02,-2.350992467464382008e-01,7.474294888982331031e+01,-3.365497040165821904e-03,7.474294889000756825e+01,-3.362389854300655307e-03
1.439903320881634086e+00,3.703353536316312216e+02,-6.948139298915367856e-02,3.703353536459456450e+02,-6.943574342901566443e-02,-3.424359930626767572e-03,1.116379658885683036e-09,-3.424359930627335260e-03,1.197728803993856908e-08,-9.368814344987529239e+02,-2.480910364557192826e-01,-9.368814389606035320e+02,-2.396539381095385002e-01,7.474294888391692382e+01,-3.430698449480538547e-03,7.474294888410561555e+01,-3.427531066593857752e-03
