 frequency       tloop           tloop           v(VINN)         v(VINN)         v(VOUT)         v(VOUT)	manifest_sha256
 5.62341325e+00  2.35598657e+03 -1.66830268e+00  1.00000000e+00  0.00000000e+00 -2.35598657e+03  1.66830268e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.73235837e+00  2.35598653e+03 -1.70074048e+00  1.00000000e+00  0.00000000e+00 -2.35598653e+03  1.70074048e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.84341413e+00  2.35598648e+03 -1.73380449e+00  1.00000000e+00  0.00000000e+00 -2.35598648e+03  1.73380449e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.95662144e+00  2.35598643e+03 -1.76750688e+00  1.00000000e+00  0.00000000e+00 -2.35598643e+03  1.76750688e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.07202196e+00  2.35598638e+03 -1.80186006e+00  1.00000000e+00  0.00000000e+00 -2.35598638e+03  1.80186006e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.18965819e+00  2.35598632e+03 -1.83687668e+00  1.00000000e+00  0.00000000e+00 -2.35598632e+03  1.83687668e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.30957344e+00  2.35598627e+03 -1.87256963e+00  1.00000000e+00  0.00000000e+00 -2.35598627e+03  1.87256963e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.43181188e+00  2.35598621e+03 -1.90895205e+00  1.00000000e+00  2.22044605e-16 -2.35598621e+03  1.90895205e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.55641849e+00  2.35598615e+03 -1.94603735e+00  1.00000000e+00  0.00000000e+00 -2.35598615e+03  1.94603735e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.68343918e+00  2.35598608e+03 -1.98383917e+00  1.00000000e+00  0.00000000e+00 -2.35598608e+03  1.98383917e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.81292069e+00  2.35598602e+03 -2.02237143e+00  1.00000000e+00  0.00000000e+00 -2.35598602e+03  2.02237143e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.94491071e+00  2.35598595e+03 -2.06164832e+00  1.00000000e+00  0.00000000e+00 -2.35598595e+03  2.06164832e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.07945784e+00  2.35598588e+03 -2.10168431e+00  1.00000000e+00 -4.44089210e-16 -2.35598588e+03  2.10168431e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.21661162e+00  2.35598581e+03 -2.14249413e+00  1.00000000e+00  0.00000000e+00 -2.35598581e+03  2.14249413e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.35642254e+00  2.35598573e+03 -2.18409280e+00  1.00000000e+00 -4.44089210e-16 -2.35598573e+03  2.18409280e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.49894209e+00  2.35598565e+03 -2.22649565e+00  1.00000000e+00  0.00000000e+00 -2.35598565e+03  2.22649565e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.64422274e+00  2.35598557e+03 -2.26971829e+00  1.00000000e+00  0.00000000e+00 -2.35598557e+03  2.26971829e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.79231798e+00  2.35598548e+03 -2.31377662e+00  1.00000000e+00  0.00000000e+00 -2.35598548e+03  2.31377662e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.94328235e+00  2.35598539e+03 -2.35868688e+00  1.00000000e+00  0.00000000e+00 -2.35598539e+03  2.35868688e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.09717142e+00  2.35598530e+03 -2.40446560e+00  1.00000000e+00  0.00000000e+00 -2.35598530e+03  2.40446560e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.25404185e+00  2.35598520e+03 -2.45112963e+00  1.00000000e+00 -4.44089210e-16 -2.35598520e+03  2.45112963e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.41395142e+00  2.35598510e+03 -2.49869616e+00  1.00000000e+00  0.00000000e+00 -2.35598510e+03  2.49869616e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.57695899e+00  2.35598500e+03 -2.54718270e+00  1.00000000e+00  0.00000000e+00 -2.35598500e+03  2.54718270e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.74312458e+00  2.35598489e+03 -2.59660709e+00  1.00000000e+00  0.00000000e+00 -2.35598489e+03  2.59660709e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.91250938e+00  2.35598478e+03 -2.64698755e+00  1.00000000e+00  0.00000000e+00 -2.35598478e+03  2.64698755e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 9.08517576e+00  2.35598466e+03 -2.69834261e+00  1.00000000e+00  0.00000000e+00 -2.35598466e+03  2.69834261e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 9.26118728e+00  2.35598454e+03 -2.75069119e+00  1.00000000e+00  0.00000000e+00 -2.35598454e+03  2.75069119e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 9.44060876e+00  2.35598442e+03 -2.80405255e+00  1.00000000e+00  0.00000000e+00 -2.35598442e+03  2.80405255e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 9.62350626e+00  2.35598429e+03 -2.85844636e+00  1.00000000e+00  0.00000000e+00 -2.35598429e+03  2.85844636e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 9.80994713e+00  2.35598415e+03 -2.91389262e+00  1.00000000e+00  0.00000000e+00 -2.35598415e+03  2.91389262e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.00000000e+01  2.35598401e+03 -2.97041177e+00  1.00000000e+00  0.00000000e+00 -2.35598401e+03  2.97041177e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.01937349e+01  2.35598386e+03 -3.02802460e+00  1.00000000e+00  0.00000000e+00 -2.35598386e+03  3.02802460e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.03912230e+01  2.35598371e+03 -3.08675233e+00  1.00000000e+00  0.00000000e+00 -2.35598371e+03  3.08675233e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
