 frequency       ad              ad              vdiff           vdiff           v(VOUT)         v(VOUT)	manifest_sha256
 4.64158883e+00  2.51948929e+03 -1.56875843e+00  1.00000000e+00 -1.84444101e-21  2.51948929e+03 -1.56875843e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.73151259e+00  2.51948925e+03 -1.59930184e+00  1.00000000e+00 -1.80955813e-21  2.51948925e+03 -1.59930184e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.82317848e+00  2.51948921e+03 -1.63043411e+00  1.00000000e+00 -1.77532864e-21  2.51948921e+03 -1.63043411e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.91662026e+00  2.51948917e+03 -1.66216671e+00  1.00000000e+00 -1.74174067e-21  2.51948917e+03 -1.66216671e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.01187234e+00  2.51948912e+03 -1.69451131e+00  1.00000000e+00 -1.70878253e-21  2.51948912e+03 -1.69451131e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.10896977e+00  2.51948908e+03 -1.72747982e+00  1.00000000e+00 -1.67644273e-21  2.51948908e+03 -1.72747982e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.20794833e+00  2.51948903e+03 -1.76108439e+00  1.00000000e+00 -1.64470996e-21  2.51948903e+03 -1.76108439e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.30884444e+00  2.51948899e+03 -1.79533738e+00  1.00000000e+00 -1.61357312e-21  2.51948899e+03 -1.79533738e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.41169527e+00  2.51948894e+03 -1.83025142e+00  1.00000000e+00 -1.58302127e-21  2.51948894e+03 -1.83025142e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.51653867e+00  2.51948888e+03 -1.86583934e+00  1.00000000e+00 -1.55304369e-21  2.51948888e+03 -1.86583934e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.62341325e+00  2.51948883e+03 -1.90211427e+00  1.00000000e+00 -1.52362981e-21  2.51948883e+03 -1.90211427e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.73235837e+00  2.51948877e+03 -1.93908954e+00  1.00000000e+00 -1.49476925e-21  2.51948877e+03 -1.93908954e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.84341413e+00  2.51948871e+03 -1.97677878e+00  1.00000000e+00 -1.46645183e-21  2.51948871e+03 -1.97677878e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.95662144e+00  2.51948865e+03 -2.01519587e+00  1.00000000e+00 -1.43866751e-21  2.51948865e+03 -2.01519587e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.07202196e+00  2.51948859e+03 -2.05435494e+00  1.00000000e+00 -1.41140646e-21  2.51948859e+03 -2.05435494e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.18965819e+00  2.51948852e+03 -2.09427042e+00  1.00000000e+00 -1.38465899e-21  2.51948852e+03 -2.09427042e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.30957344e+00  2.51948846e+03 -2.13495701e+00  1.00000000e+00 -1.35841560e-21  2.51948846e+03 -2.13495701e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.43181188e+00  2.51948838e+03 -2.17642968e+00  1.00000000e+00 -1.33266695e-21  2.51948838e+03 -2.17642968e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.55641849e+00  2.51948831e+03 -2.21870370e+00  1.00000000e+00 -1.30740386e-21  2.51948831e+03 -2.21870370e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.68343918e+00  2.51948823e+03 -2.26179464e+00  1.00000000e+00 -1.28261731e-21  2.51948823e+03 -2.26179464e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.81292069e+00  2.51948815e+03 -2.30571836e+00  1.00000000e+00 -1.25829845e-21  2.51948815e+03 -2.30571836e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.94491071e+00  2.51948807e+03 -2.35049104e+00  1.00000000e+00 -1.23443858e-21  2.51948807e+03 -2.35049104e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.07945784e+00  2.51948799e+03 -2.39612917e+00  1.00000000e+00 -1.21102915e-21  2.51948799e+03 -2.39612917e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.21661162e+00  2.51948790e+03 -2.44264953e+00  1.00000000e+00 -1.18806178e-21  2.51948790e+03 -2.44264953e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.35642254e+00  2.51948780e+03 -2.49006928e+00  1.00000000e+00 -1.16552823e-21  2.51948780e+03 -2.49006928e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.49894209e+00  2.51948771e+03 -2.53840585e+00  1.00000000e+00 -1.14342039e-21  2.51948771e+03 -2.53840585e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.64422274e+00  2.51948761e+03 -2.58767706e+00  1.00000000e+00 -1.12173033e-21  2.51948761e+03 -2.58767706e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.79231798e+00  2.51948750e+03 -2.63790103e+00  1.00000000e+00 -1.10045023e-21  2.51948750e+03 -2.63790103e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.94328235e+00  2.51948739e+03 -2.68909627e+00  1.00000000e+00 -1.07957243e-21  2.51948739e+03 -2.68909627e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.09717142e+00  2.51948728e+03 -2.74128162e+00  1.00000000e+00 -1.05908941e-21  2.51948728e+03 -2.74128162e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.25404185e+00  2.51948717e+03 -2.79447630e+00  1.00000000e+00 -1.03899377e-21  2.51948717e+03 -2.79447630e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.41395142e+00  2.51948704e+03 -2.84869989e+00  1.00000000e+00 -1.01927827e-21  2.51948704e+03 -2.84869989e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.57695899e+00  2.51948692e+03 -2.90397236e+00  1.00000000e+00 -9.99935768e-22  2.51948692e+03 -2.90397236e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.74312458e+00  2.51948679e+03 -2.96031405e+00  1.00000000e+00 -9.80959282e-22  2.51948679e+03 -2.96031405e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.91250938e+00  2.51948665e+03 -3.01774572e+00  1.00000000e+00 -9.62341944e-22  2.51948665e+03 -3.01774572e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 9.08517576e+00  2.51948651e+03 -3.07628850e+00  1.00000000e+00 -9.44077012e-22  2.51948651e+03 -3.07628850e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 9.26118728e+00  2.51948636e+03 -3.13596396e+00  1.00000000e+00 -9.26157868e-22  2.51948636e+03 -3.13596396e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 9.44060876e+00  2.51948621e+03 -3.19679406e+00  1.00000000e+00 -9.08578018e-22  2.51948621e+03 -3.19679406e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 9.62350626e+00  2.51948605e+03 -3.25880120e+00  1.00000000e+00 -8.91331084e-22  2.51948605e+03 -3.25880120e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 9.80994713e+00  2.51948589e+03 -3.32200821e+00  1.00000000e+00 -8.74410806e-22  2.51948589e+03 -3.32200821e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.00000000e+01  2.51948571e+03 -3.38643836e+00  1.00000000e+00 -8.57811040e-22  2.51948571e+03 -3.38643836e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.01937349e+01  2.51948554e+03 -3.45211537e+00  1.00000000e+00 -8.41525755e-22  2.51948554e+03 -3.45211537e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
