 time            v(VINP)         v(VOUT)	manifest_sha256
 7.56400000e-08  8.00000000e-01  7.97470782e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.61400000e-08  8.00000000e-01  7.97470782e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.66400000e-08  8.00000000e-01  7.97470782e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.71400000e-08  8.00000000e-01  7.97470782e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.76400000e-08  8.00000000e-01  7.97470782e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.81400000e-08  8.00000000e-01  7.97470782e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.86400000e-08  8.00000000e-01  7.97470782e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.91400000e-08  8.00000000e-01  7.97470782e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.96400000e-08  8.00000000e-01  7.97470782e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.01400000e-08  8.00000000e-01  7.97470782e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.06400000e-08  8.00000000e-01  7.97470782e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.11400000e-08  8.00000000e-01  7.97470782e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.16400000e-08  8.00000000e-01  7.97470782e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.21400000e-08  8.00000000e-01  7.97470782e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.26400000e-08  8.00000000e-01  7.97470782e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.31400000e-08  8.00000000e-01  7.97470782e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.36400000e-08  8.00000000e-01  7.97470782e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.41400000e-08  8.00000000e-01  7.97470782e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.46400000e-08  8.00000000e-01  7.97470782e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.51400000e-08  8.00000000e-01  7.97470782e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.56400000e-08  8.00000000e-01  7.97470782e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
